text,is_kelas
suka bgt sama jawaban semalem apakah orang baik masih mendukung orang baik,1
katanya pak anis orang baikkok waktu debat nyindir terussebaiknya jgn lakukan lagi malu saya,-1
teori serap anggaran,0
tapi menteri pecatan bro,-1
kami tidak pernah dipecat langsung ko,0
mantab nih apalagi penghasilan uno,0
maju terus pak anies salam bersama,1
anis mmg bdohtk mmpu brsaing tompi bilng tdk puny program  feasible,-1
ahok jujur tegas cpt,1
cagub lain barujanji,-1
cagub lain baruteori,-1
pilih ahok terbukti,1
ya jelas pilih ahok lah  sudah beri bukti bukan  baru janji mau beri bukti,1
coba aja lo terapin  dki  dki bnyk  salah tp nyolot,-1
ow githu ya kok  ya jd mentri,-1
dia bekas mentri pendidikan  dipecat kok bicara soal pendidikan,-1
kalau anis seperti gadis perawan cantik tak berpengalaman,-1
 dimisalkan incumbent janda beranak banyak  sudah ganti suami sangat pengalaman,0
malah  alfamart ya belinya menguntungkan retail besar,0
 seluruh acara kita jd tahu mana cagub  berkelas intelek  cocok buat jakarta bravo pak,0
setuju mbak pilih cagub  berkelas intelek bravo pak pak,0
gaya bicaranya berkelas intelek bravo pak pak,1
melihat debat kmrn kita jadi tahu  jelas terbukti mana cagub  berkelas intelek bravo pak br,0
penghargaan tokoh pembawa perubahan dunia majalah foresight jepang,1
melihat debat kmrn jadi paham  emang terbukti mana cagub  berkelas intelek bravo pak pak,0
inilah mental tdk disiplin menjadi budaya  bgmn menurut,0
padahal jg bajunya selalu putih tim  pendukungnya baju putih  bukan kosmetik  pakean seharinya,0
dki beda bro banyak  suka fitnah kalo dihukum tertutup,0
anda  nyinyir anda pikir gaji sbg gubernur dki jakarta sebanding  penghasilan  berbagai p,0
namanya  kampanye pak lebih gampang klaim ide org sindir ahok anies kenapa baru sekarang b,0
melihat debat kmrn emang terbukti mana cagub  berkelas intelek bravo pak pak,0
sepertinya bgtu sayang yaaa dl sy sangat respect sm beliau,0
melihat debat kmrn jadi tahu mana cagub berkelas intelek pak pak,0
namanya  debat bung  bukan vulgar tp berkelas and intelek bravo pak pak,0
suka  penampilan pak  pak  pnampilannya mirip saat debatnya pilpres as berkelas,1
karir kemitraan bagi pembaruan tata pemerintahan,1
lupa kali kan diberhentikan dia udah move on cari kerjaan lain,0
mana,0
sudah pintarpun masih harus belajar lagi,0
puas nonton debat semalam terima ksh   calon  sudah hadir,1
kritik dibantah  bukti dilapangan by chirpstory,0
belajarlah  timnas  bekerja sama  baik jakarta jg hrs maju bersama,0
habislah cerita orang  gak paham apa  sesungguhnya dimaksudkan anies,-1
motivator pengganti mario teguh,0
wajar la ahy gk datang masa dia lawan  gk imbangnya ahokanis mana imbang ahy,-1
orang klo dah tdk mampu lg berdebat  menyerang secara personal  sah org  bodoh stupid,-1
indonesia bersatu aman damai tanpa penista agama jakarta maju bersama ,1
warga jkt bersama dukung  bersih cerdas,1
cmn bilangin sm hti ambil data  pksprabowo uda pengalamanmalah sampe acara sujud syukur loh,0
ahli buat data palsubohong terus asal gaya mirip p buat penonton terkesima kerja data kongkrit,-1
iya sudahlah daripada berantem mending pilih  adem cieee gue,1
mana kandidat pepo debat kalian berdua luar biasa anak pepo biasa  luar,-1
keren nih pak mudah mudahan bapak terpilih jd gubernur dki,1
skrg saya jd lebih paham pak anis knp anda dipecat oleh jokowi,-1
mana kandidat pepo klo kemarin anak pepo ikut sy yakin kalah sama kalian debatnyalanjutken,-1
terpikir hal  sama ,0
ga nyambung bro one man show  trkait sistem plksnaan pmrinthan,0
yahair mineral harganya g sebrpa bro smbr waras reklmasi dll,0
masih ingat rukun iman percaya  kitab kitabnya atau udah g percaya lagi,0
  asli benar oom skrg ngerti emang udah tepat tuh pak dhe keputusannya,0
haha blunder,0
mengingat kurang cukup kompeten ketika menjabat menjadi mentrinya pak terbukti pak anis  reshuffle,-1
pertanyaannya kenapa emang ga  orang  lebih kompeten lagi  menjadi pesaing,-1
mungkin gerindra bikin survey  ternyata om angry bird gak mencukupi elektabilitasnya sehinggal dipanggil,-1
sebenernya saya  sih,0
semakin ga jelas nih pak smakin paham knpa anda dipecat sbg menterijgn bapak skrg sdg pake co,-1
sebelum nama muncul menjadi cagub  gerindra si angry bird adalah cagubnya apa  kurang pamor jd diselip,-1
apa indonesia krisis pemimpin sebetulnya lawan ahok tidak sepadan dipecat sdngkn gak perlu dibahas,-1
pak gmn caranya mencegah orang supaya ga sakit  mengubah mindsetsprti  bapak bilang tadiga ngerti aku,0
hakhakhakkali cucok  sob,0
nonton debat  kompas tv tadiaku geli sendiri denger visimisi pak maaf  bkn visimisi tapi baca puisi,-1
skrng warga jakarta sudah tau  mencalonkan gubernur jakarta hnya  dua yakni,1
y calon   dukung o komisioner kpkbambang w adnan pandu,1
