text,is_kelas
suka bgt sama jawab semalem apakah orang baik masih dukung orang baik,1
kata pak anis orang baikkok waktu debat nyindir terussebaiknya jgn laku lagi malu saya,-1
teori serap anggar,0
tapi menteri pecat bro,-1
kami tidak pernah pecat langsung ko,0
mantab nih apalagi hasil uno,0
maju terus pak anies salam sama,1
anis mmg bdohtk mmpu brsaing tompi bilng tdk puny program  feasible,-1
ahok jujur tegas cpt,1
cagub lain barujanji,-1
cagub lain baruteori,-1
pilih ahok bukti,1
ya jelas pilih ahok lah  sudah beri bukti bukan  baru janji mau beri bukti,1
coba aja lo terapin  dki  dki bnyk  salah tp nyolot,-1
ow githu ya kok  ya jd mentri,-1
dia bekas mentri didik  pecat kok bicara soal didik,-1
kalau anis seperti gadis perawan cantik tak berpengalaman,-1
 misal incumbent janda anak banyak  sudah ganti suami sangat alam,0
malah  alfamart ya beli untung retail besar,0
 seluruh acara kita jd tahu mana cagub  kelas intelek  cocok buat jakarta bravo pak,0
tuju mbak pilih cagub  kelas intelek bravo pak pak,0
gaya bicara kelas intelek bravo pak pak,1
lihat debat kmrn kita jadi tahu  jelas bukti mana cagub  kelas intelek bravo pak br,0
harga tokoh bawa ubah dunia majalah foresight jepang,1
lihat debat kmrn jadi paham  emang bukti mana cagub  kelas intelek bravo pak pak,0
 mental tdk disiplin jadi budaya  bgmn turut,0
padahal jg baju selalu putih tim  dukung baju putih  bukan kosmetik  pakean hari,0
dki beda bro banyak  suka fitnah kalo hukum tutup,0
anda  nyinyir anda pikir gaji sbg gubernur dki jakarta banding  hasil  bagai p,0
nama  kampanye pak lebih gampang klaim ide org sindir ahok anies kenapa baru sekarang b,0
lihat debat kmrn emang bukti mana cagub  kelas intelek bravo pak pak,0
seperti bgtu sayang yaaa dl sy sangat respect sm beliau,0
lihat debat kmrn jadi tahu mana cagub kelas intelek pak pak,0
nama  debat bung  bukan vulgar tp kelas and intelek bravo pak pak,0
suka  tampil pak  pak  pnampilannya mirip saat debat pilpres as kelas,1
karir mitra bagi baru tata pemerintahan,1
lupa kali kan henti dia udah move on cari kerja lain,0
mana,0
sudah pintar masih harus ajar lagi,0
puas nonton debat malam terima ksh   calon  sudah hadir,1
kritik ban  bukti lapang by chirpstory,0
ajar  timnas  kerja sama  baik jakarta jg hrs maju sama,0
habis cerita orang  gak paham apa  sungguh maksud anies,-1
motivator ganti mario teguh,0
wajar la ahy gk datang masa dia lawan  gk imbang ahokanis mana imbang ahy,-1
orang klo dah tdk mampu lg debat  serang cara personal  sah org  bodoh stupid,-1
indonesia satu aman damai tanpa nista agama jakarta maju sama ,1
warga jkt sama dukung  bersih cerdas,1
cmn bilangin sm hti ambil data  pksprabowo uda pengalamanmalah sampe acara sujud syukur loh,0
ahli buat data palsubohong terus asal gaya mirip p buat tonton kesima kerja data kongkrit,-1
iya sudah daripada antem mending pilih  adem cieee gue,1
mana kandidat pepo debat kalian dua luar biasa anak pepo biasa  luar,-1
keren nih pak mudah mudah bapak pilih jd gubernur dki,1
skrg saya jd lebih paham pak anis knp anda pecat oleh jokowi,-1
mana kandidat pepo klo kemarin anak pepo ikut sy yakin kalah sama kalian debatnyalanjutken,-1
pikir hal  sama ,0
ga nyambung bro one man show  trkait sistem plksnaan pmrinthan,0
yahair mineral harga g sebrpa bro smbr waras reklmasi dll,0
masih ingat rukun iman percaya  kitab kitab atau udah g percaya lagi,0
  asli benar oom skrg ngerti emang udah tepat tuh pak dhe putus,0
haha blunder,0
ingat kurang cukup kompeten ketika jabat jadi mentrinya pak bukti pak anis  reshuffle,-1
tanya kenapa emang ga  orang  lebih kompeten lagi  jadi saing,-1
mungkin gerindra bikin survey  nyata om angry bird gak cukup elektabilitasnya sehinggal panggil,-1
sebenernya saya  sih,0
makin ga jelas nih pak smakin paham knpa anda pecat sbg menterijgn bapak skrg sdg pake co,-1
belum nama muncul jadi cagub  gerindra si angry bird adalah cagubnya apa  kurang pamor jd selip,-1
apa indonesia krisis pemimpin betul lawan ahok tidak padan pecat sdngkn gak perlu bahas,-1
pak gmn cara cegah orang supaya ga sakit  ubah mindsetsprti  bapak bilang tadiga ngerti aku,0
hakhakhakkali cucok  sob,0
nonton debat  kompas tv tadiaku geli sendiri denger visimisi pak maaf  bkn visimisi tapi baca puisi,-1
skrng warga jakarta sudah tau  calon gubernur jakarta h  dua yakni,1
y calon   dukung o komisioner kpkbambang w adnan pandu,1
 menteri gagal ngomong banyak bakul dia lupa pak jokowi pecat dia  gak becus kerja,-1
reklamasi dibatalkanutk jakmaniastadion kelas oldtrafford akn bangun,0
cumaaniessandi  berani tolak reklamasiuangcukonglewat asakrjutkrakyat,1
yuk kita googlekira muncul ga ya,0
cagub contoh baik berani adu debat positif,1
kjp plus bs dpake  sekolah pesantrenkuliahkursuskejar paket ac,0
banding  gk nyambung rekam jejak pun buruk,-1
dahsyaat bro  jak maniaaniessandi mw buat stadion kelas old trafford,0
dominan bnyak  kecewa tp  momentum lambat laun topeng politik  mudah buka,-1
jejak rekmnya kan emg jlek anis jd mentri  gntigk becus uno ikut tax amnesty,-1
mentri didik pula lagiharusnya kasi contoh  baik bukan tukang nyinyir,-1
alo ngomong didik pak  putus sekolah dll bapak pernah jadi menteri toh ,-1
rakyat kecil sakit pake kjs plus lsg daftar  rsga ribet pake rujuk dulu,0
debat  sangat baik  buka mata masy siapa  layak jd gub,0
smw program kerja anies sandipro rakyat kecil trutama  guru mantapmsejahterakan bgt,1
proklamasi atau diproklamirkan pak,0
tetap aja takut,0
salam sama pak anies,1
chirpified survey lsi mayoritas publik ingin gubernur baru oleh,0
kalau  kok ya iya,0
kata jangan sara tapi bawa agamahayoo kita ga perlu gubernur kayak lu mending lu mundur,-1
kami tidak pernah pecat kata pak djarot hayoloh   pecat hahahahhahahahahhahahahahhaahahahahahha,-1
tdk  jawab kongkrit  jelas   tiap beri jawab detailny tdk jelasq,-1
thanks ya om tuk hadir serta cerah kemarin malam,1
klu rumah halang alir air  mau diapain mas jelas dong,0
bingung bos gmn cara kejar undecided voter kalo ramah habis stock uv kalo frontal swingvoter  badja,0
konsep modern  tata warga bantaran kali  seperti apa sih,0
hahahaha tuju om,0
ganti oleh mas  bang aamiin,1
 ga ikut no lg cari sama pak rt,0
cocok jadi motivator  ahli  situ kata suruh kerja nyata ya bingung,-1
kndidat takut debat gausah nyagub,-1
mantab aniessandimjawab  tegasprogram kerja pro rakyat kecil dki jkt,1
masih mau ngomongin henti  politisasi sby  pernah henti jadi menteri belum jd r periode,-1
cakep bang,1
blm sempurna jd orang utan nya huahah,0
 kenapa ngak ikut aja,0
ya  ltltlt cm hebat lompat doank huahahahah,-1
 ga hadir kecut jago kmpnye doank bohongin rkyt kcl,-1
gaya slm mendikbud kemarin ngapain ngaca,-1
siapa  pantas jadi gubernur dki no no no,0
mari kita juang  damai tidak saling caci maki  saling meruigikan orang lain,0
catet cc,0
hehehe makanya anis gusur jd mendikbud  tdk  kerja cmn citra doang,-1
teladan banget emang mas,1
nih pak,0
bapak lebih cocok jd guru ppkn dprd jadi gubernur jakarta ngomong soal mmbangun manusia tp cuma  hasil kerja org lain,-1
br liat depat cagub  ros nyata nyolot  ya tp gpp  penting hadir drpd tidak,-1
udah overload ngadapin ahok,-1
heh sejak km jd mentri  sdh  program revolusi mental km pikir  apa idiot loe bego,-1
mas  bang kampanye otentik bukan kosmetik sudah cukup jakarta kotak kotak mari wu,1
moga pak tonton ulang debat kompas tv sehingga beliau lebih bijak lagi  debat,0
lebih cocok gantiin mario teguh,-1
humas,0
wow kalah  segala hal masak dakwa mau lawan pak kasihan nanti nangis lagi dah nggak usa,-1
juang  tidak harus tipu,0
relawan mas gak bakal sesal lah  bukti bkn kutu loncat  konsisten,1
kami  bajabuka baris jakarta bugis makassar dukung pak anies,1
mas konsisten  maju sama  jadi hero bersamamelalui bangun sdm nya,1
tulis mungkin,0
 gusur ruang hidup,0
kota mati lah situ waktu mendikbud prestasi apa,-1
pilkada tahun milih siapa  share,0
beri program bangun benda hidup jgn cm omdo  pura pinter,-1
bpk rumah tangga,0
bangun benda hidup butuh puluh tahun pakai otak loe,-1
apa yah gw pikir motivator tapi kok nyinyirin terus ya jadi inget mt,-1
nyata bnyk para intelektual  jadi aneh canggung kalo jd praktisi  lapanganbeda     bukuteori,-1
 soal tata tanpa gusur  loh belum jawab  cara,0
maju kota bahagia warga baris jakarta bugis makassar,0
hanya sedikit kritisi,0
