text,is_kelas
rw rumah tanpa dp kayak gin makan opini sesat,-1
maaf abang stok artis sudah tnggal ya gmna,0
hayalan tingkat tinggi by peterpan,0
semoga abang aniessandi aniessandi pilih gubernur dki,1
brantas narkoba sampai akar bapak saya titip miras brantas stop pabrik botol pabrik buat mirasnya,0
hahay sampai segitunya jurus tipu ala jangan gada diri ambisi,-1
rumah area reklamasi,0
bukti nyata bukan hanya retorika faham kamu,0
bener banget apa tanya jawab okoc makanya punya program jangan sara,-1
datang istiqlal sambut takbir,0
anak harus hati jangan mnfaatin sebarin selebaran,0
kenapa tidak boleh,0
npl kita sekarang kisar brp ya bapak,0
apa sampa malam tentang sungguh luar duga bapak lupa masa lihat depan,0
tampak hadir subuh berjamaah,0
kampung derer sudah bangun tong,0
sudah rapat istiqlal indah dalan satu islam,0
tuhan jakarta pimpin oleh pemimpin soleh,1
cari abang sumber lapor,0
aniessandi agussylvi lomba cari dukung fpi apa kalian janji fpi menang pilkada dki,0
aniessandi aniessandi roket usai debat paling simpatik,0
moment baik ketika jelas kpd publik kena pilih,0
dagel politik,0
rapi bersih atur tanpa pungli punya mrt segala lokasi,0
mari bapak,0
gimn jngn nyinyir mulu jangan jual mimpi mana program and,-1
bapak salah dah,0
tolong kembali lanjut maju sudah makin rasa,1
paslon lebih baik,1
lapor masyarakat cukup lewat aplikasi hp solusi cepat tanggap tugas ppsu siaga sblmnya tidak pernah,0
tumbang nimpa sampai mrk ber tidak bangun atas mrk ahokdjarot menang,1
tuhan aniessandi aniessandi jakarta martabat,1
nama lain bibir lain jalan lain orasi lain prakteknya,-1
duduk dki adalah muslim so ya kita guna agama takut kalah,0
hal lihat sepele spt trotoar bagus luas ayan cepat dikelurahan suasana lbh rasa modern,0
kami santri rq dukung bapak bapak aniessandi gubernur dki,1
jangan pilih cagub tidak pernah baca al quran,-1
jangan cuma omdo nato,-1
dulu ingat pasti ingat tenun bangsa sekarang ingat hoax fundamentalis,0
baca jangan skanya mnjatohkan lawan ptng bukti cuman pinter omong,-1
mknya jangan slh pilih pilih program bgs realistis bukan apa goodwil oce,0
kasihan anak suruh bagi brosur gubernur program discount,0
saking ramah banyak lapang kerja anak abang sebar flier,0
abang abang aniessandi hadir masjid,0
makanya gagal paham debat jkt adu program bukan adu simpati,-1
hati bicara anda sudah laku cemar nama baik wajib tuntut orang,0
habib pangan oye fpi ya,0
pemegang amanah hadir,1
sistem skrng punya mjdi gubernur jkrta mrsa sbg muslim kita wajib milih islam,1
semoga tuhan berik menang antum dua semoga jakarta selamat,1
aniessandi sandhi agussylvi agussylvi pilih mereka muslim,1
cara kualitas pemimpin juara bagai muslim saya tidak boleh pilih,-1
cara kualitas pemimpin ahokjarot juara bagai muslim saya tidak boleh pilih,-1
positif thinking aj mgkin mic rusak atw mngkin kabelny lepas hwhw,0
ass yakin usaha sampai wslm,0
tidak menteri apa tidak punya massa buat pilpres ya ganti khan punya massa buanyaakk ya,-1
cara guna kaum teroris lebih keji drpd cara pakai pki,0
apa kita warga jakarta beri suara kepada orang goblok kayak program awang gubernur,-1
palingsuka kami tegas kpd distributor narkoba namun rangkul penuh kasih syg kpd candu,0
lebih tidak malu kamu bos wong sipit kafir pake ava cewek hijab pantes panas,0
tetangga sudah masuk rsj abang kamu tinggal aceh apa pondok labu ngibul,-1
punya okoce cuma bapak lain cuma khayal mau maju umkm jakarta,-1
hayuk wrg jkt kt pilih paslon y,1
debat malam simpatik banget sesi akhir kepemimpinan ruji tidak serang paslon,1
gitu ya mana,0
semoga tuhan restu pemimpin lbh hati umat,1
sungguh masyarakat tidak tahu apa benar bersih n apa niat tulus benar bela penting masyarakat,0
makan bangku skul jangan rayap,0
smg masyarakat jkrt buka mata hati pilih pemimpin santun n mertabat bukan arogan n sok bersih,1
amanah,1
kamu jebak ahokdjarot,0
ketika bicara,0
gokil bapak calon pemimpin negara,1
bapak hadir sholat subuh berjamaah,0
abang sandiu trmasuk orang trkaya indo boleh pinjam uangx jt beli rmh cicil thn ya srtifikt bapak pegang,0
memang pinjam kembal,0
keren program abang lebih riil sgt bpihak rakyat kecil dki,1
ngerasain ya bapak,0
hilang harap orang anak kecil punya cita gubernur dagang ya dik,0
kami sudah buat belum lain pikir,0
abang ngegombalnya sudah over dosis,-1
jelang sholat subuh berjamaah mesjid istiqlal,0
apa program terus jalan andai gubernur buksn aniessandi,0
sedih saya lihat bapak saya pernah sangat kagum bapak,-1
cagub klaim sbg ortu warga jkt warga tidak ahokdjarot sbg ortun,0
om waras om,0
saat cara kampanye gambar cara pimpin,0
roma tidak harga asa ani,0
abang nyetatus intelek dikit kenapa malu kali haters,-1
kami harap setelah tangga februari kembali merah putih,-1
agussylvi asal dongeng pnting nyinyir balkot difabel dperkaryakan tidak prnah ngantor,0
maju terus bapak aniessandi,1
cicil bulan bagaimana,0
ramah kpd kaum difabel sblumnya tidak prnah trpikir jkt sudah tidak kampung berkat ahokdjarot,1
tidak hrs melulu mnggunakan ramp lift jkt sekarang sudah mulai maju sprti kota dunia mulai peduli,0
sikap pemahaman benar sbg makhluk semoga langit rahmat menang atau kalah anda tetap menang abang,0
maju terus,1
bohong parah orang doyan banget omong bohong molo,-1
mantap maju terus,1
memang bangsat laknatullah,-1
kemarin ya sekarang tidak,0
dulu milih,0
ajar dosen fitnah bapak dosen apa kayak gubernur ta,0
mantan menteri koplak semua halal,-1
kurang dess dess cak cek kepinteren be telmi mungkin,0
oce makan cemilan baru ya,0
cicil panjang bunga mahal aniessandi bidang dana als lintah darat,-1
rasis,0
keren semua hny tuhan tentu takdir telah tulis bagi kita adalah berikhiar doa,0
iya iya tidak dilakuin buwas cerita,0
ngupi dini hari usai saksi kita dulu tanggal jangan lupa coblos,0
jam sudah jaya kayak tinggal lanjutin,0
memang lama tuan rumah siapa,0
pinned tweet ganti sudah bulan lebih,0
ya anda sudh temak hoax ahoker,0
oalah bapak bapak cuma omong thok kowe,-1
ahokdjarot ahokdjarot lebih nyata mata saya,1
pantas pecat bapak jokowi,-1
masukin tempat tidur lwt mana lb,0
mngkn dia banyak kenal sales properti kali,0
hrsnya bapak aniessandi mepet terus mana agussylvi subuh jaga suara stabil,0
saya prediksi pilkada langsung putar benar tarung vs lolos tidak sudah pasti lolos,0
jangan hanya omangan dana buat mana belum pula dp rumah tidak mau nambahin utang,-1
abang mau berantas narkoba sampai tuntas dapet salam mau legalisasi ganja wakwawwww,0
tepat malu dunia didik telah besar nama,-1
sbgaian ibu jgak bawa dampak ingin laku curang,-1
semoga pimpin ya bapak amanah,1
lbh simple serahin tugas lembaga,0
banding mmg lbh kapabel program lbh bumi tidak cuma retorika,-1
jelas tentang konsep rumah tanpa dp,0
terus ngapain km bilang tugas lembaga km sudah tau jwbn aazzz,0
kluarga utama brow,0
apa kabar jangan bangun benda benda mati bagaimana abang sehat,0
trlalu simple uda tgas msing lmbaganya,0
wah parah kata didik hati busuk ya,-1
logika kinerja benar dia tidak henti saat menteri pemecatan cara halus,-1
km sebutin arti ngerangkul km paham tidak apa,0
bukti nyata fact congrats terus juang putar adala,1
kenapa tidak kalian atur harus pribumi asli bukan turun,0
pemikiran km tidak nyampe soal sosialisasi,0
bina pasti,0
sudah kebelet gubernur shg esensi prtanyan tidak t rjawab kebelet,-1
ngeyel ni orang tidak paham kinerja maksud sosialisasi bhy narkoba sprti apa akun abal,-1
bapak lihat bapak,0
sungguh asli gubernur dki,0
ya sangat ingin kuasa skrmg apa laku,-1
kreeeen nmr kebyoranlama,0
bagi ica kali gorila budastick,0
pas doi ngomg gtu ngakak bapak aniessandi sedudul ya,-1
in sya tuhan brkah bapak semoga doa kta ijabah tuhan maju terus,1
banyak congek kali abang,0
raffi ahmad timses bapak pake narkoba bapak buat ikhtiar kmrn,0
dunia didik malu pernah punya orang seperti anda,-1
apa wewenang hukum gubernur kam kuhp asal nhomong,-1
pantes aceh selalu landa musibah gempa dll mulu rasis lo,-1
pssssst cuma buat paslon,0
mmg watak asli orang br buka pas dia ditawari kuasa ya kayak aniessandi,-1
nonton debat cagub dki bikin emosi nyata pasang pasang hmm ambisi suka,-1
makasih buat terjemah bapak ayo kita fokus kerja kerja kerja,0
apa lemah ahokdjarot agama yaudah gitu hajar habis pake isu agama ben modiar,-1
warga jkrt tau mn bs mimpin jkrt kamu cmn ngeramaikan ade balon gubernur,0
katane tidak nyangkut pilkada mbok yao ikut diri tidak campur politik l,0
maaf track record tidak bohong saya pilih bersih,-1
sapa tau gerak kamuflase buat kendara politik cb tanya orang awam apa manfaat im tidak,0
maklum boss,0
tadi tidak sebut kredit rumah mana siapa oleh dp mungkin rumah janji,0
tolol,-1
gubernur baru stok lama,0
bagaimana bs pemimpin rangkul smua kl beda agama beda suku sudut kampanye,1
video tidak gugah soal uda buta hati nurani oleh napsu kuasa prinsip pegang lama dilepehin,-1
semoga masuk putar bapak putar suara gabung paslon siapa masuk paslon atau gbg,1
souzon bangat,0
mantap kanda yakin usaha sampai,1
teori diandalin,-1
dua jari ya om ahokdjarot ommm,1
besok pagi subuh istiqlal ya om,0
ayo berkah hidup bagi link ikut,0
korupsi bapak disebutin berantas korupsi gitu baru clear,0
kpr tanpa dp tidak salah tidak marah bi ojk apa tidak salah proedur,0
tuhan jakarta utara pilih cagub muslim,1
ayo warga jkt kita kawal menang gubernur wagub dki jakarta,1
kpr kredit lacur rumah,0
cek tl tahun brp saya sosialisasikn bhya narkoba brp orang ingin sembuh candu,0
oce pokok be,0
km sudah pernah cek lap brp tmpt sosialisasikn bhya narkoba,0
tap kata dibangung akhlak bapak bangun tidak penting,0
kata komnas perempuan pindah tanggungjawab gerak perempuan cape,0
hadir jakarta menawarkan lindung hadap warga dagang lima,0
ucap apkh bakal pake atur tuhan,0
cuma jwban blg gtu tidak real tidak smudah orang pcandu,0
jakarta semua jangan kotak kotak jangan mau kotak kotak,1
sara mana,0
kerja kls atas asyik nge twitt para dukung mari kompak tuk damai aza pilih n,1
hati kecil kalian pasti tidak bs bohong diri bahwa ideal dki jakarta,1
nonton orasi habib rizieq,0
bapak ahokdjarot boleh datang,0
emng gtu tidak tau ortunya kaya tanya lp bnyk tu cuma pmakai emangny kamu pmakai,0
pernah urus imb pasti erti nista nabrak izin reklamasi,-1
main sudah main kasar fitnah,-1
that moment ketika berita gas bapak abang padahal isi adalah j,0
elektabilitas naik maka turun atau balik mereka rebut segmen pasar,0
lucu bapak,0
tahu tidak omong sprt medsos benar jika benar anda,0
cerdas ya pasti hadir unt menetralisir bujuk rayu agussylvi,0
sesi interaksi tidak bertanya kepada justru minta dapat,0
pantes pecat presiden be be,-1
banyak dukung nista anak muda baru ikut milu kmaren gampang wash brain,-1
suka closing statement bapak saat debat tuhan ikhtiar kabul,1
anti reklamasi ngumpulnya partai sanusi,0
pakta ya wujud feb x,0
prabowo jamin,0
tuhan tidak putar pertama gusur hal gusur warga,1
hati masyarakat tanpa debat bapak ahokdjarot suda pasti menang,1
sabotase,0
debat semua paslon telah baik kurang debat belum,0
apa bukan nista agama nama,0
salam ukhuwah,0
abang tidak ikut hadir nanti rebut suara usaha akhir,0
maaf bapak seperti saya harus move on saya dulu kagum bapak sekarang entah,-1
bapak aniessandi aniessandi php pintar olah kata dp rumah tipu,-1
bapak sudah omong beh bikin leleh,0
jangan beli kucing karung sudah pasti,0
aazzzz,0
mantap bapak,0
tidak cocok sales oce oyes,-1
lebih wenang siapa om artikulasi koordinasi apa,0
janji mimpi jelas tidak nyata sudah nyata ngapain bingung,-1
maaf bukan sok pinter ya pas bapak menteri bagaimana ya monggo jelas kami,-1
orang kalaubdah pecat arti tidak guna,-1
pulau reklamasi jika batal pulau kampung nelayan abang hutan bakau abang,0
ya benar bapak bagi besar warga jkt datang karyawan maupun dagang ya spt saya,0
bagaimana bapak waktu anda jawab menit mulai sejak anda bicara,0
paslon sudah ruji bukti karya dikit banyak waris minta,1
pribadi santun cerdas rakyat,1
tetap tidak,0
beli,0
abang video mana atau tidak anggap sbg cagub muslim,0
jakarta butuh tukang cukur baru,0
nampaknya kredit rumah tanpa agun janji oleh aniessandi aniessandi hayo siapa mau ikut kredit,0
consistency integrity haus kuasa mmg rusak akhlak kl nda kuat iman adalah cont,-1
masih timbang salam bln nominal konsisten gtu pan,0
kenapa tidak suka anak nakal keluar alas,0
mw bwt kpr mw bikin perban ancur kredit macet,-1
menteri anda salah itung anggar arti anda kala cermat mantri sunat tidak pernah salah potong,-1
bukti brarti bukan fitnah,0
kl byk hutang budi gubernur baru kasih apa ama jkt tidak mlh sibuk balas budi,0
bukti berik info sesat rakyat,-1
saya tidak terima anda bilang warga ingin gubernur baru jakarta cuma mau,1
buat biaya hidup sudah susah bagaimana seh program ngawur wur,-1
