text,is_kelas
tiap paslon punya program masing situ mrasa hebat kenapa situ tidak nyagub,-1
saya lihat berita kenapa ikut aksi bela islam lihat salam sprt dukung anda bs jelas,-1
bukan politik uang program agussylvi menentaskan miskin paham tidak cebong,-1
seru,0
soal program mana bagus bs debat tetap tidak ngerti apa politik uang waduh,-1
apa kbtulan ingat sungguh mereka orang buat rusak mereka tidak sadar qs,0
saya tahu abang rasa sakit agama hina tahan doa sj rumah saudara kita aksi hr,-1
abg semoga menang partai pilkada nanti iyeeeww,1
kerja nyata relawan afc jakarta utara sosialisasi terus abang mpok gubdki,1
tahan ahokdjarot agussylvi tidak ketemu debat cagub mewek tar,-1
program kerja ya hrs nyata ukur smart,0
sedih agama bawa damai bukan balik picu benci,-1
agussylvi pasti tidak ikut aksi,0
tidak main politik uang saat dia ranking bawah,-1
bayar rp warga rebut bakso agussylvi cuek orasi timses nonton simiskin saling sikut rebut,-1
mereka kawasan jajah elo makanya sapa paksa takut preman lutung murka,-1
harap abang jk satu unit usaha berik modal serap lima kerja baru maka,0
kritik buat para kontestan,-1
bukan program khayal abang yakin program realisasi sinergi,0
pagi sadar baik manfaat banyak banding nyinyir naikin elektabilitas abang terus,-1
naga burik senior masih bnyak laenn,0
saat single yl beliau sudah klaim diri kloning bapak identik,-1
keren amat ya membelah diri kayak monera,-1
sikat kepala rw mobilisasi massa pilih calon mnjanjikan uang dasar cagub malas,-1
maju abang jakarta kota bernartabat,1
bawaslu program politik uang hari gin main politik uang siang bolong,-1
lumayan bagi bagi hasil bli harus ne ngae slogan luungan bedik agussylvi make jakarta great again,0
kampanye senang sini kena semprit btw perlu nyiapin,0
apakah yakin tambah karyawan buah usaha janji kurang anggur,0
fungsi dana saat kampanye katak pemberdayaan komun,0
rasa pilgub sekarang calon cuma,0
koruptor berjamaah makin,-1
mungkin tanya kembang suap,-1
semerawut abang,-1
keren mba video semoga harap kita akn pemimpin ramah santun wujud,1
terus semangat coblos tidak,1
pemimpin santun tinggal rumah hantu hambalang,-1
inget bapak inget partai inget menteri tahun jangan smpai ulang,-1
tekan program bukan politik uang,0
posko menang relawan agussylvi agussylvi lentengagung jagakarsa jaksel,0
posko menang relawan lima kalibata pancoran jaksel,0
menit apa pasuk orange nb pantesan timses jahat pasuk orange,-1
penting menang dulu laen urus belakang gitu repot,1
lanjut juang sang ayah tidak sampai yaitu bagi uang,-1
blg bukan politik uang adalah bela diri atau benar bukan buah benar nilai,-1
raskin korupsi rw apalagi duit milyar,-1
duit korupsi ngendi abang,-1
prihatin saya lihat agussylvi kena tampar keras publik,-1
harta kaya lebih besar,0
gembira ortu punya anak begitu tanya mayor lain kaya berapa,-1
waahhh orang suci sedang pose nyata,-1
plees sby politik uang buah jth tidak jauh pohon y laku ank sby ficik,-1
mikir tidak duit trilyun banyak manfaat,-1
program rp miliar per rw agussylvi nyata bagai politik uang,0
denger bah sm lo agussylvi ikutin jejak sby ya,0
saya zamin kamu kubu atau kubu mau indonesia hancur,-1
kami sudah muak janji politikus busuk cuma mbacot,-1
bot tapa kyanya nyari wangsit buat balesin mentionan,-1
wkwkwkwkwkwkwkwjw bah coba tanya pumpe semua sudah jalan tinggal tambah beda,0
kurangin pake kata prihatin bro khusus mereka,-1
program basi belum tentu bukti hrs persetujuan mendagri dprd,-1
emang doi oramg jakarta takut bukan,-1
uang politik tidak mempan ibu,-1
lapor,0
mudah menang saya punya karyawan nambah karyawan dapat gilir,1
orang sudah lihat hasil kerja ahokdjarot agussylvi anak magang jual nama bapak,-1
tekan program bukan politik uang chirpstory,0
posko menang relawan lima cilandak timur cilandak jaksel,0
makanya hestek cuma bsnya prihatin kya sby,-1
ya gitulah buzer belaga pilon apa benar bloon,-1
hari gin masih maen playing victim playing hero,-1
smg daganganny lais n lancar,1
bot orang playing as victims,-1
rekap survei dini para tarung,0
posko menang relawan lima kebayoranlama selatan kebayoran lama jaksel,0
harap abang jika satu unit usaha berik modal serap lima kerja baru maka,0
blg bukan politik uang adalah bela diri atau benar bukan buah benar nilai bawaslu bukan dia,-1
posko menang relawan bagus pasar minggu jaksel,0
jangan pilih tidak dah gtu,-1
program abang rencana bantu dana gulir rp t per tahun bagi unit usaha mikro,0
markas lunglung,0
bagaimana bs prgrm brjln kl sistm pengawasn rw tidak dpt dipntw kmn arus m sm aj spt sstm blt,0
atau mnrt radikalisme tidak masalah,-1
posko menang relawan lima pasar minggu jaksel,0
mantap,1
sby curang,-1
duren abang td minta datang tim abang agussylvi thanks,0
kita cari makan bukan minta blt program harus didik martabat,-1
cagub tidak wagubnya mana ya,0
posko menang relawan lima agussylvi agussylvi kramat mampang jaksel,0
hari cukup kt sudah cium bau bangkenya abang foto hny tuk bukti otentik bhw cium kt,-1
posko menang relawan lima agussylvi agussylvi jaksel,0
bukan program bagi bagi uang bla bla bla,-1
program rencana bantu dana gulir rp triliun per tahun bagi unit usaha mikro,0
senang lihat arung ciliwung serta janji spt venice bulan yl telah beker,1
tanah abang janji uang,-1
posko menang relawan lima agussylvi agussylvi cikoko pancoran jaksel,0
