"","text","is_kelas"
"1.content","rw rumah tanpa dp kayak gin makan opini sesat",-1
"2.content","maaf abang stok artis sudah tnggal ya gmna",0
"3.content","hayalan tingkat tinggi by peterpan",0
"4.content","semoga abang aniessandi aniessandi pilih gubernur dki",1
"5.content","brantas narkoba sampai akar bapak saya titip miras brantas stop pabrik botol pabrik buat mirasnya",0
"6.content","hahay sampai segitunya jurus tipu ala jangan gada diri ambisi",-1
"7.content","rumah area reklamasi",0
"8.content","bukti nyata bukan hanya retorika faham kamu",0
"9.content","bener banget apa tanya jawab okoc makanya punya program jangan sara",-1
"10.content","datang istiqlal sambut takbir",0
"11.content","anak harus hati jangan mnfaatin sebarin selebaran",0
"12.content","kenapa tidak boleh",0
"13.content","npl kita sekarang kisar brp ya bapak",0
"14.content","apa sampa malam tentang sungguh luar duga bapak lupa masa lihat depan",0
"15.content","tampak hadir subuh berjamaah",0
"16.content","kampung derer sudah bangun tong",0
"17.content","sudah rapat istiqlal indah dalan satu islam",0
"18.content","tuhan jakarta pimpin oleh pemimpin soleh",1
"19.content","cari abang sumber lapor",0
"20.content","aniessandi agussylvi lomba cari dukung fpi apa kalian janji fpi menang pilkada dki",0
"21.content","aniessandi aniessandi roket usai debat paling simpatik",0
"22.content","moment baik ketika jelas kpd publik kena pilih",0
"23.content","dagel politik",0
"24.content","rapi bersih atur tanpa pungli punya mrt segala lokasi",0
"25.content","mari bapak",0
"26.content","gimn jngn nyinyir mulu jangan jual mimpi mana program and",-1
"27.content","bapak salah dah",0
"28.content","tolong kembali lanjut maju sudah makin rasa",1
"29.content","paslon lebih baik",1
"30.content","lapor masyarakat cukup lewat aplikasi hp solusi cepat tanggap tugas ppsu siaga sblmnya tidak pernah",0
"31.content","tumbang nimpa sampai mrk ber tidak bangun atas mrk ahokdjarot menang",1
"32.content","tuhan aniessandi aniessandi jakarta martabat",1
"33.content","nama lain bibir lain jalan lain orasi lain prakteknya",-1
"34.content","duduk dki adalah muslim so ya kita guna agama takut kalah",0
"35.content","hal lihat sepele spt trotoar bagus luas ayan cepat dikelurahan suasana lbh rasa modern",0
"36.content","kami santri rq dukung bapak bapak aniessandi gubernur dki",1
"37.content","jangan pilih cagub tidak pernah baca al quran",-1
"38.content","jangan cuma omdo nato",-1
"39.content","dulu ingat pasti ingat tenun bangsa sekarang ingat hoax fundamentalis",0
"40.content","baca jangan skanya mnjatohkan lawan ptng bukti cuman pinter omong",-1
"41.content","mknya jangan slh pilih pilih program bgs realistis bukan apa goodwil oce",0
"42.content","kasihan anak suruh bagi brosur gubernur program discount",0
"43.content","saking ramah banyak lapang kerja anak abang sebar flier",0
"44.content","abang abang aniessandi hadir masjid",0
"45.content","makanya gagal paham debat jkt adu program bukan adu simpati",-1
"46.content","hati bicara anda sudah laku cemar nama baik wajib tuntut orang",0
"47.content","habib pangan oye fpi ya",0
"48.content","pemegang amanah hadir",1
"49.content","sistem skrng punya mjdi gubernur jkrta mrsa sbg muslim kita wajib milih islam",1
"50.content","semoga tuhan berik menang antum dua semoga jakarta selamat",1
"51.content","aniessandi sandhi agussylvi agussylvi pilih mereka muslim",1
"52.content","cara kualitas pemimpin juara bagai muslim saya tidak boleh pilih",-1
"53.content","cara kualitas pemimpin ahokjarot juara bagai muslim saya tidak boleh pilih",-1
"54.content","positif thinking aj mgkin mic rusak atw mngkin kabelny lepas hwhw",0
"55.content","ass yakin usaha sampai wslm",0
"56.content","tidak menteri apa tidak punya massa buat pilpres ya ganti khan punya massa buanyaakk ya",-1
"57.content","cara guna kaum teroris lebih keji drpd cara pakai pki",0
"58.content","apa kita warga jakarta beri suara kepada orang goblok kayak program awang gubernur",-1
"59.content","palingsuka kami tegas kpd distributor narkoba namun rangkul penuh kasih syg kpd candu",0
"60.content","lebih tidak malu kamu bos wong sipit kafir pake ava cewek hijab pantes panas",0
"61.content","tetangga sudah masuk rsj abang kamu tinggal aceh apa pondok labu ngibul",-1
"62.content","punya okoce cuma bapak lain cuma khayal mau maju umkm jakarta",-1
"63.content","hayuk wrg jkt kt pilih paslon y",1
"64.content","debat malam simpatik banget sesi akhir kepemimpinan ruji tidak serang paslon",1
"65.content","gitu ya mana",0
"66.content","semoga tuhan restu pemimpin lbh hati umat",1
"67.content","sungguh masyarakat tidak tahu apa benar bersih n apa niat tulus benar bela penting masyarakat",0
"68.content","makan bangku skul jangan rayap",0
"69.content","smg masyarakat jkrt buka mata hati pilih pemimpin santun n mertabat bukan arogan n sok bersih",1
"70.content","amanah",1
"71.content","kamu jebak ahokdjarot",0
"72.content","ketika bicara",0
"73.content","gokil bapak calon pemimpin negara",1
"74.content","bapak hadir sholat subuh berjamaah",0
"75.content","abang sandiu trmasuk orang trkaya indo boleh pinjam uangx jt beli rmh cicil thn ya srtifikt bapak pegang",0
"76.content","memang pinjam kembal",0
