"","text","is_kelas","sentimen_1","date"
"1.content","tiap paslon punya program masing kalau situ mrasa hebat kenapa situ tidak nyagub saja","-1",1,"01/12/2016"
"2.content","saya lihat berita di kenapa yg ikut aksi bela islam lihat salam sprt dukung anda bs jelas","-1",1,"01/12/2016"
"3.content","ini bukan politik uang program agussylvi itu utk menentaskan miskin paham tidak sih cebong","-1",1,"01/12/2016"
"4.content","nah seru tuh","0",2,"01/12/2016"
"5.content","soal program mana yg bagus bs debat ttp tidak ngerti apa itu politik uang waduh","-1",1,"01/12/2016"
"6.content","apa kbtulan ingat sungguh mereka itu orang yg buat rusak tetapi mereka tidak sadar qs","0",2,"01/12/2016"
"7.content","saya tahu abang pun rasa sakit agama hina tp tahan doa sj dr rumah utk saudara kita yg aksi hr ini","-1",1,"01/12/2016"
"8.content","abg haha moga yg menang partai di pilkada nanti iyeeeww","1",3,"01/12/2016"
"9.content","kerja nyata relawan afc jakarta utara wow sosialisasi terus abang mpok untuk gubdki","1",3,"01/12/2016"
"10.content","tahan ahokdjarot biar agussylvi tidak ketemu di debat cagub bisa mewek tar","-1",1,"01/12/2016"
"11.content","program kerja itu ya hrs nyata dan ukur smart","0",2,"01/12/2016"
"12.content","sedih agama bawa damai bukan balik picu benci","-1",1,"01/12/2016"
"13.content","agussylvi pasti tidak ikut aksi","0",2,"01/12/2016"
"14.content","kalau tidak main politik uang saat ini dia ada di ranking bawah","-1",1,"01/12/2016"
"15.content","bayar rp haha warga rebut bakso agussylvi cuek orasi timses nonton simiskin lagi saling sikut rebut","-1",1,"01/12/2016"
"16.content","mereka kawasan jajah elo makanya sapa dg paksa takut preman lutung murka","-1",1,"01/12/2016"
"17.content","harap abang jk satu unit usaha yang berik modal bisa serap lima kerja baru maka","0",2,"01/12/2016"
"18.content","kritik nih buat para kontestan cc","-1",1,"01/12/2016"
"19.content","ini bukan program khayal abang yakin program itu akan realisasi dengan ada sinergi","0",2,"01/12/2016"
"20.content","pagi biar sadar baik itu manfaat banyak banding nyinyir naikin elektabilitas abang terus haha cc","-1",0,"01/12/2016"
"21.content","ini lho naga burik yg senior msih ada bnyak yg laenn","0",2,"01/12/2016"
"22.content","saat single di yl beliau sudah klaim diri kloning bapak identik","-1",1,"01/12/2016"
"23.content","keren amat ya bisa membelah diri kayak monera","-1",1,"01/12/2016"
"24.content","sikat juga kepala rw rt yg mobilisasi massa utk pilih calon yg mnjanjikan uang dasar cagub yg malas","-1",1,"01/12/2016"
"25.content","maju abang jadi jakarta kota bernartabat","1",3,"01/12/2016"
"26.content","bawaslu program politik uang like father like son hari gin ada yg main politik uang siang bolong","-1",1,"01/12/2016"
"27.content","lumayan bagi bagi hasil bli harus ne ngae slogan luungan bedik agussylvi make jakarta great again","0",2,"01/12/2016"
"28.content","kampanye senang tuh sini kena semprit btw perlu nyiapin","0",2,"01/12/2016"
"29.content","apakah yakin tambah karyawan dalam buah usaha janji kurang anggur","0",2,"01/12/2016"
"30.content","fungsi dari dana pada saat kampanye katak untuk pemberdayaan komun","0",2,"01/12/2016"
"31.content","yg rasa kalau pilgub sekarang calon cuma dan","0",2,"01/12/2016"
"32.content","koruptor berjamaah makin jadi","-1",1,"01/12/2016"
"33.content","mungkin tanya haha kembang yg suap itu yg","-1",1,"01/12/2016"
"34.content","semerawut yg ada abang","-1",1,"01/12/2016"
"35.content","keren mba video moga harap kita akn pemimpin yg ramah dan santun bisa wujud","1",3,"01/12/2016"
"36.content","alhamdulillah terus semangat coblos tidak","1",3,"01/12/2016"
"37.content","pemimpin yang santun itu tinggal rumah hantu hambalang","-1",1,"01/12/2016"
"38.content","inget bapak nya inget partai nya inget menteri nya tahun jangan smpai ulang lagi","-1",1,"01/12/2016"
"39.content","tekan program itu bukan lah politik uang","0",2,"01/12/2016"
"40.content","posko menang relawan haha agussylvi agussylvi lentengagung jagakarsa jaksel","0",2,"01/12/2016"
"41.content","posko menang relawan haha lima kalibata pancoran jaksel","0",2,"01/12/2016"
"42.content","menit apa itu pasuk orange nb pantesan timses jahat sama pasuk orange","-1",1,"01/12/2016"
"43.content","yg penting menang dulu yg laen urus belakang gitu saja haha repot","1",3,"01/12/2016"
"44.content","tapi lanjut juang sang ayah yg tidak sampai yaitu bagi uang haha cc","-1",1,"01/12/2016"
"45.content","kalau blg bukan politik uang itu adalah bela diri atau benar bukan buah benar yg nilai","-1",1,"01/12/2016"
"46.content","raskin saja korupsi sama rw apalagi duit milyar","-1",1,"01/12/2016"
"47.content","duit haha korupsi ngendi teh abang","-1",1,"01/12/2016"
"48.content","prihatin saya lihat agussylvi kena tampar keras dari publik","-1",1,"01/12/2016"
"49.content","harta kaya lebih besar dari","0",2,"01/12/2016"
"50.content","gembira ortu punya anak begitu tanya mayor yg lain deh kaya berapa","-1",1,"01/12/2016"
"51.content","waahhh orang suci sedang pose nyata","-1",1,"01/12/2016"
"52.content","plees sby politik uang buah jth tidak jauh dri pohon y laku ank sama sby sama sama ficik","-1",1,"01/12/2016"
"53.content","mikir tidak kalau duit trilyun itu banyak manfaat","-1",1,"01/12/2016"
"54.content","program rp miliar per rw agussylvi nyata bagai politik uang","0",2,"01/12/2016"
"55.content","denger bah sm lo juga cuy haha agussylvi ikutin jejak sby ya","0",2,"01/12/2016"
"56.content","saya zamin kamu kubu dan atau kubu yg mau indonesia hancur","-1",1,"01/12/2016"
"57.content","kami sdh muak dgn janji politikus busuk cuma mbacot doang","-1",1,"01/12/2016"
"58.content","bot si lagi tapa kyanya nyari wangsit buat balesin mentionan","-1",1,"01/12/2016"
"59.content","wkwkwkwkwkwkwkwjw bah coba tanya si pumpe itu semua sudah jalan tinggal tambah biar beda","0",2,"01/12/2016"
"60.content","kurangin pake kata prihatin bro itu khusus mereka","-1",1,"01/12/2016"
"61.content","program basi belum tentu bukti hrs ada persetujuan mendagri dprd","-1",1,"01/12/2016"
"62.content","emang doi oramg jakarta takut bukan","-1",1,"01/12/2016"
"63.content","uang politik tidak akan mempan lagi ibu","-1",1,"01/12/2016"
"64.content","lapor cc","0",2,"01/12/2016"
"65.content","mudah menang saya yg punya karyawan en nambah karyawan kalau dapat gilir","1",3,"01/12/2016"
"66.content","itu orang sudah lihat hasil kerja ahokdjarot agussylvi anak magang yg jual nama bapak haha","-1",1,"01/12/2016"
"67.content","tekan program itu bukan lah politik uang chirpstory","0",2,"01/12/2016"
"68.content","posko menang relawan haha lima cilandak timur cilandak jaksel","0",2,"01/12/2016"
"69.content","uhuy like father like son sekal","-1",1,"01/12/2016"
"70.content","makanya ada hestek kan cuma bsnya prihatin kya sby","-1",1,"01/12/2016"
"71.content","ya gitulah buzer belaga pilon apa benar bloon","-1",1,"01/12/2016"
"72.content","hari gin masih maen playing victim playing hero dunk","-1",1,"01/12/2016"
"73.content","smg daganganny lais n lancar amin","1",3,"01/12/2016"
"74.content","ini juga bot nya org yg playing as victims nih haha","-1",1,"01/12/2016"
"75.content","rekap survei dini para tarung","0",2,"01/12/2016"
"76.content","posko menang relawan haha lima kebayoranlama selatan kebayoran lama jaksel","0",2,"01/12/2016"
"77.content","harap abang jika satu unit usaha yang berik modal bisa serap lima kerja baru maka","0",2,"01/12/2016"
"78.content","kalau blg bukan politik uang itu adalah bela diri atau benar bukan buah benar yg nilai bawaslu bukan dia","-1",1,"01/12/2016"
"79.content","posko menang relawan haha bagus pasar minggu jaksel","0",2,"01/12/2016"
"80.content","jangan pilih tidak dah gtu saja","-1",1,"01/12/2016"
"81.content","program abang itu dengan rencana bantu dana gulir rp t per tahun bagi unit usaha mikro","0",2,"01/12/2016"
"82.content","di markas haha lunglung","0",2,"01/12/2016"
"83.content","bagaimana bs prgrm ini brjln kl sistm pengawasn di rw tidak dpt dipntw kmn arus m sebut ada ini sm aj spt sstm blt","0",2,"01/12/2016"
"84.content","atau mnrt radikalisme tidak masalah","-1",1,"01/12/2016"
"85.content","posko menang relawan haha lima pasar minggu jaksel","0",2,"01/12/2016"
"86.content","mantap","1",3,"01/12/2016"
"87.content","sby nih curang","-1",1,"01/12/2016"
"88.content","duren abang td ada yg minta datang tim abang agussylvi thanks","0",2,"01/12/2016"
"89.content","kita cari makan bukan minta blt program itu harus didik dan martabat","-1",1,"01/12/2016"
"90.content","cagub tidak wagubnya yg mana ya","0",2,"01/12/2016"
"91.content","posko menang relawan haha lima agussylvi agussylvi kramat a mampang jaksel","0",2,"01/12/2016"
"92.content","hari cukup kt sdh cium bau bangkenya kok abang foto ini hny tuk bukti otentik bhw cium kt","-1",1,"01/12/2016"
"93.content","posko menang relawan haha lima agussylvi agussylvi jaksel","0",2,"01/12/2016"
"94.content","ini bukan program bagi bagi uang tapi bla bla bla","-1",1,"01/12/2016"
"95.content","program itu dg rencana bantu dana gulir rp triliun per tahun bagi unit usaha mikro","0",2,"01/12/2016"
"96.content","senang lihat arung ciliwung serta janji akan spt venice karena bulan yl telah beker","1",0,"01/12/2016"
"97.content","di tanah abang juga janji uang","-1",1,"01/12/2016"
"98.content","posko menang relawan haha lima agussylvi agussylvi cikoko pancoran jaksel","0",2,"01/12/2016"
"99.content","nmx psr ya pst rame lah cb haha hutan","0",2,"01/12/2016"
"100.content","niat aksi bela islam tp beberapa hari belum aksi ngumpul di cikeas dukung cagub magang masuk","-1",1,"01/12/2016"
"101.content","robot mulai kerja tidur haha","-1",1,"01/12/2016"
"102.content","pilih nomer sudah paket sama fpi lho nyata seram ky lihat harta kaya bos","-1",1,"01/12/2016"
"103.content","ciee ikut bantuin ahokdjarot kampanye arti tuju kinerja emg haha ya","1",0,"01/12/2016"
"104.content","baca deh dan","0",2,"01/12/2016"
"105.content","moga terus semangat dan komitmen tinggi apkli","1",3,"01/12/2016"
"106.content","insyallah menang tetap ikhtiar istiqomah selalu dekat dng hati rakyat salam buat keluarga besar dicikeas","1",3,"01/12/2016"
"107.content","gusti boten sare moga abang berik semua yang baik oleh tuhan allah selamat sukses","1",3,"01/12/2016"
"108.content","mirip mirip blt nih tidak nyontek program kan","-1",1,"01/12/2016"
"109.content","biar pun orang gencar mefitnah abang kami yakin di balik coba ini ada cahaya dari langit yg akan terang di tiap jiwa","1",3,"01/12/2016"
"110.content","sbg prajurit aktif tidak boleh bisnis cek haha ps ayat iya tidak sby","-1",1,"01/12/2016"
"111.content","abang agussylvi saya tadi sore jam lihat abang agussylvi kampanye di jakarta timur keren banyak gemar abang agussylvi keren bismillah","1",3,"01/12/2016"
"112.content","aksi abang keren tidak seperti paslon lain cuma berani kandang","1",3,"01/12/2016"
"113.content","buly yang dilakukab ahoker hadap atas tindak salah jadi pr ahokdjarot untung elektabilitasnya naik","-1",1,"01/12/2016"
"114.content","palsu nih asli tetap dalam haha kafir","-1",1,"01/12/2016"
"115.content","lebih arah ukur apa kalau lbh prihatin saya tuju","-1",1,"01/12/2016"
"116.content","tidak usah muluk emang uang siapa mau bagi","-1",1,"01/12/2016"
"117.content","posko ini akan rapi di saat jadi gubernur posko sejarah di masa akan datang","1",3,"01/12/2016"
"118.content","lah kalau banding dengan jelas lebih tampan aniessandi daripada kalau gagah lebih gagah","-1",1,"01/12/2016"
"119.content","tolong timses utama bikin suasana sejuk cc","-1",1,"01/12/2016"
"120.content","posko menang relawan haha lima agussylvi agussylvi pangadegan pancoran jaksel","0",2,"01/12/2016"
"121.content","posko menang relawan haha lima agussylvi agussylvi manggarai selatan tebet jaksel","0",2,"01/12/2016"
"122.content","benerkan puji orang sendiri","-1",1,"01/12/2016"
"123.content","posko menang relawan haha agussylvi agussylvi cipulir kebayoran lama jaksel","0",2,"01/12/2016"
"124.content","wahai rakyat jakarta jangan mau bohong pake uang","-1",1,"01/12/2016"
"125.content","alhamdulillah sudah inshaf neng","0",2,"01/12/2016"
"126.content","doa sama santun anak yatim kaum dhuafa sama auditorium indra hasan jatiwaringin","0",2,"01/12/2016"
"127.content","posko menang relawan haha lima agussylvi agussylvi kuninganbarat mampang jakarta selatan","0",2,"01/12/2016"
"128.content","kalian bayar berapa sama timses utk iklan skrng kampus politik","-1",1,"01/12/2016"
"129.content","pln tidak ada rugi negara pada proyek listrik mangkrak","0",2,"01/12/2016"
"130.content","posko menang relawan haha lima agussylvi agussylvi duren tiga pancoran jakarta selatan","0",2,"01/12/2016"
"131.content","klu dia bukan nista agama kenapa polisi menjdkn ahokdjarot trsk mikir","-1",0,"01/12/2016"
"132.content","entah harus kasi atau bagaimana tapi semua sudah takdir dy yg milih ikut nyagub dy tau resikknya","-1",1,"01/12/2016"
"133.content","moga allah berik amanat kepada untuk pimpin jakarta","1",3,"01/12/2016"
"134.content","arti yg milih adlh org miskin yg ngarep dpt uang tiap bln arti tidak semua org miskin bisa kibul haha","-1",1,"01/12/2016"
"135.content","emang nikmat buat gelintir dijadiin bancak apalagi nikmat bener","-1",1,"01/12/2016"
