,text,is_kelas,sentimen_1,date
1.content,tiap paslon punya program masing kalau situ mrasa hebat kenapa situ tidak nyagub,-1,-1,01/12/2016 21:21
2.content,saya lihat berita  kenapa  ikut aksi bela islam lihat salam sprt dukung anda bs jelas,-1,-1,01/12/2016 21:21
3.content,bukan politik uang program agussylvi   menentaskan miskin paham tidak sih cebong,-1,-1,01/12/2016 21:21
4.content,seru,0,0,01/12/2016 21:21
5.content,soal program mana  bagus bs debat tetap tidak ngerti apa  politik uang waduh,-1,-1,01/12/2016 21:21
6.content,apa kbtulan ingat sungguh mereka  orang  buat rusak  mereka tidak sadar qs,0,0,01/12/2016 21:21
7.content,saya tahu abang  rasa sakit agama hina  tahan doa sj  rumah  saudara kita  aksi hr,-1,-1,01/12/2016 21:21
8.content,abg  moga  menang partai  pilkada nanti iyeeeww,1,1,01/12/2016 21:21
9.content,kerja nyata relawan afc jakarta utara  sosialisasi terus abang mpok  gubdki,1,1,01/12/2016 21:21
10.content,tahan ahokdjarot biar agussylvi tidak ketemu  debat cagub  mewek tar,-1,-1,01/12/2016 21:21
11.content,program kerja  ya hrs nyata  ukur smart,0,0,01/12/2016 21:21
12.content,sedih agama bawa damai bukan balik picu benci,-1,-1,01/12/2016 21:21
13.content,agussylvi pasti tidak ikut aksi,0,0,01/12/2016 21:21
14.content,kalau tidak main politik uang saat  dia   ranking bawah,-1,-1,01/12/2016 21:21
15.content,bayar rp  warga rebut bakso agussylvi cuek orasi timses nonton simiskin  saling sikut rebut,-1,-1,01/12/2016 21:21
16.content,mereka kawasan jajah elo makanya sapa  paksa takut preman lutung murka,-1,-1,01/12/2016 21:21
17.content,harap abang jk satu unit usaha  berik modal  serap lima kerja baru maka,0,0,01/12/2016 21:21
18.content,kritik  buat para kontestan,-1,-1,01/12/2016 21:21
19.content,bukan program khayal abang yakin program   realisasi   sinergi,0,0,01/12/2016 21:21
20.content,pagi biar sadar baik  manfaat banyak banding nyinyir naikin elektabilitas abang terus,-1,0,01/12/2016 21:21
21.content,naga burik  senior msih  bnyak  laenn,0,0,01/12/2016 21:21
22.content,saat single  yl beliau sudah klaim diri kloning bapak identik,-1,-1,01/12/2016 21:21
23.content,keren amat ya  membelah diri kayak monera,-1,-1,01/12/2016 21:21
24.content,sikat  kepala rw   mobilisasi massa  pilih calon  mnjanjikan uang dasar cagub  malas,-1,-1,01/12/2016 21:21
25.content,maju abang jadi jakarta kota bernartabat,1,1,01/12/2016 21:21
26.content,bawaslu program politik uang     hari gin   main politik uang siang bolong,-1,-1,01/12/2016 21:21
27.content,lumayan bagi bagi hasil bli harus ne ngae slogan luungan bedik agussylvi make jakarta great again,0,0,01/12/2016 21:21
28.content,kampanye senang  sini kena semprit btw perlu nyiapin,0,0,01/12/2016 21:21
29.content,apakah yakin tambah karyawan  buah usaha janji kurang anggur,0,0,01/12/2016 21:21
30.content,fungsi  dana  saat kampanye katak  pemberdayaan komun,0,0,01/12/2016 21:21
31.content,rasa kalau pilgub sekarang calon cuma,0,0,01/12/2016 21:21
32.content,koruptor berjamaah makin jadi,-1,-1,01/12/2016 21:21
33.content,mungkin tanya  kembang  suap,-1,-1,01/12/2016 21:21
34.content,semerawut   abang,-1,-1,01/12/2016 21:21
35.content,keren mba video moga harap kita akn pemimpin  ramah  santun  wujud,1,1,01/12/2016 21:21
36.content,terus semangat coblos tidak,1,1,01/12/2016 21:21
37.content,pemimpin  santun  tinggal rumah hantu hambalang,-1,-1,01/12/2016 21:21
38.content,inget bapak  inget partai  inget menteri  tahun jangan smpai ulang,-1,-1,01/12/2016 21:21
39.content,tekan program  bukan  politik uang,0,0,01/12/2016 21:21
40.content,posko menang relawan  agussylvi agussylvi lentengagung jagakarsa jaksel,0,0,01/12/2016 21:21
41.content,posko menang relawan  lima kalibata pancoran jaksel,0,0,01/12/2016 21:21
42.content,menit apa  pasuk orange nb pantesan timses jahat sama pasuk orange,-1,-1,01/12/2016 21:21
43.content,penting menang dulu  laen urus belakang gitu   repot,1,1,01/12/2016 21:21
44.content,lanjut juang sang ayah  tidak sampai yaitu bagi uang,-1,-1,01/12/2016 21:21
45.content,kalau blg bukan politik uang  adalah bela diri atau benar bukan buah benar  nilai,-1,-1,01/12/2016 21:21
46.content,raskin  korupsi sama rw apalagi duit milyar,-1,-1,01/12/2016 21:21
47.content,duit  korupsi ngendi teh abang,-1,-1,01/12/2016 21:21
48.content,prihatin saya lihat agussylvi kena tampar keras  publik,-1,-1,01/12/2016 21:21
49.content,harta kaya lebih besar,0,0,01/12/2016 21:21
50.content,gembira ortu punya anak begitu tanya mayor  lain  kaya berapa,-1,-1,01/12/2016 21:21
51.content,waahhh orang suci sedang pose nyata,-1,-1,01/12/2016 21:21
52.content,plees sby politik uang buah jth tidak jauh  pohon y laku ank sama sby sama sama ficik,-1,-1,01/12/2016 21:21
53.content,mikir tidak kalau duit trilyun  banyak manfaat,-1,-1,01/12/2016 21:21
54.content,program rp miliar per rw agussylvi nyata bagai politik uang,0,0,01/12/2016 21:21
55.content,denger bah sm lo    agussylvi ikutin jejak sby ya,0,0,01/12/2016 21:21
56.content,saya zamin kamu kubu  atau kubu  mau indonesia hancur,-1,-1,01/12/2016 21:21
57.content,kami sdh muak  janji politikus busuk cuma mbacot,-1,-1,01/12/2016 21:21
58.content,bot   tapa kyanya nyari wangsit buat balesin mentionan,-1,-1,01/12/2016 21:21
59.content,wkwkwkwkwkwkwkwjw bah coba tanya  pumpe  semua sudah jalan tinggal tambah biar beda,0,0,01/12/2016 21:21
60.content,kurangin pake kata prihatin bro  khusus mereka,-1,-1,01/12/2016 21:21
61.content,program basi belum tentu bukti hrs  persetujuan mendagri dprd,-1,-1,01/12/2016 21:21
62.content,emang doi oramg jakarta takut bukan,-1,-1,01/12/2016 21:21
63.content,uang politik tidak  mempan  ibu,-1,-1,01/12/2016 21:21
64.content,lapor,0,0,01/12/2016 21:21
65.content,mudah menang saya  punya karyawan en nambah karyawan kalau dapat gilir,1,1,01/12/2016 21:21
66.content,orang sudah lihat hasil kerja ahokdjarot agussylvi anak magang  jual nama bapak,-1,-1,01/12/2016 21:21
