"","text","is_kelas","sentimen_2","date"
"1.content","rakyat dki",0,0,"10/12/2016 23:56"
"2.content","kenapa byk mslh dipengadilan sibuk urus framing adil",-1,0,"10/12/2016 23:53"
"3.content","kenapa dewanpers bikin sepakat adil tidak perlu live buat apa bikin media",-1,0,"10/12/2016 23:51"
"4.content","bgmana kasus mei sekrg sibuk urus adil tidak suai ham",-1,0,"10/12/2016 23:46"
"5.content","apa sibuk framing adil hakim cari masalalu stlhgagal cegah",-1,0,"10/12/2016 23:44"
"6.content","apa sibuk framing adil kisruh stlhgagal cegah",-1,0,"10/12/2016 23:43"
"7.content","apa sibu framing adil tekan massa stlh gagal cegah",-1,0,"10/12/2016 23:41"
"8.content","apa sibuk framing adil stlh gagal framing kacau",-1,0,"10/12/2016 23:40"
"9.content","apa sibuk framing adil stlh gagal framing teroris",-1,0,"10/12/2016 23:39"
"10.content","apa sibuk framing adil stlh gagal framing antitoleransi gagal",-1,0,"10/12/2016 23:38"
"11.content","apa sibuk framing adil stlh gagal framing antinkri gagal",-1,0,"10/12/2016 23:37"
"12.content","polisi jongos cukong berani tangkap lawan pemerintah takut tangkap mending mundur semua",-1,-1,"10/12/2016 23:32"
"13.content","sosialisasi seprti akn angkat rating bukan bully fitnah agussylvi salah",1,1,"10/12/2016 23:31"
"14.content","tetap ahokdjarot bukan laen",1,1,"10/12/2016 23:29"
"15.content","rubah budaya ngegarong belum tinggal bahkan cenderung kolektif besar besaran yagasih br",0,0,"10/12/2016 23:22"
"16.content","buat bapak orang bijak lbh byk orang mghujat bapak situ doa utkmu bapak dia mmberi umur utkmu pnjang umur bapak",1,1,"10/12/2016 23:20"
"17.content","usai gusur kini premanisme rajalela kitar kalijodo",0,0,"10/12/2016 23:13"
"18.content","akun palsu",0,0,"10/12/2016 23:10"
"19.content","andai adil bebas tuduh nista agama seperti bakal bikin aksi bela islam jilid",-1,0,"10/12/2016 23:10"
"20.content","semoga bapak klg selalu kuat yesus gbu",1,1,"10/12/2016 23:04"
"21.content","mana ayan gusur bos lo ngaco lo tindas rakyat jongos cina",-1,-1,"10/12/2016 22:58"
"22.content","daripada lo",-1,-1,"10/12/2016 22:52"
"23.content","pan sudah disumbangin buat fakir miskin kaya lo",0,0,"10/12/2016 22:52"
"24.content","rupa doyan kontol cina ya enaak ya",-1,-1,"10/12/2016 22:49"
"25.content","andai bs nyata korban hanya tonton bagi skelompok",-1,0,"10/12/2016 22:43"
"26.content","tuhan yesus serta bapak",1,1,"10/12/2016 22:37"
"27.content","berani cuma marah",-1,-1,"10/12/2016 22:31"
"28.content","rame kita ingat janji bp live sidang buka beliau prnh blng hrs transparan",0,0,"10/12/2016 22:08"
"29.content","baca tarik",0,0,"10/12/2016 21:53"
"30.content","orang masih keliar",-1,-1,"10/12/2016 21:41"
"31.content","letak bohong mana mmg benar tidak boleh pilih pemimpin kafir sprt",-1,-1,"10/12/2016 21:37"
"32.content","mau buku",0,0,"10/12/2016 21:33"
"33.content","bincang hangat sahabat",0,0,"10/12/2016 20:40"
"34.content","semangat bapak semoga salah satu anda menang",1,1,"10/12/2016 20:00"
"35.content","selamat tetap juang tebar baik",1,1,"10/12/2016 19:20"
"36.content","hebaaaaaattttrtt kata lain cuma iri",1,1,"10/12/2016 19:14"
"37.content","asyik lagu ahokdjarot pasti tumbang",-1,-1,"10/12/2016 19:04"
"38.content","masa takut debat tidak cuma chicken or coward diketawain",-1,0,"10/12/2016 18:56"
"39.content","tidak dapat kulupakan laknatullah ya tuhan sehat pimpin",-1,-1,"10/12/2016 18:49"
"40.content","ngk usah ladenin",-1,0,"10/12/2016 18:48"
"41.content","harga berapa",0,0,"10/12/2016 18:36"
"42.content","sudah tidak marah air mata bentar tumpah sombong sudah nan",-1,-1,"10/12/2016 18:33"
"43.content","bagus bikin film saya lbh suka nonton daripada baca",1,1,"10/12/2016 18:30"
"44.content","bapak reklamasi thh inget lagu bapak gesang alir sampai jauh akhir",0,0,"10/12/2016 18:21"
"45.content","weh kendal nafsu amarahmu yayaya paham paham",-1,-1,"10/12/2016 18:18"
"46.content","jangan suka gitu kendal amarahmu",-1,-1,"10/12/2016 18:12"
"47.content","semangat bapak gubernur salam jari",1,1,"10/12/2016 17:54"
"48.content","gadis sampul ngemengnya gitu ya",-1,0,"10/12/2016 17:40"
"49.content","ahokdjarot mania pade kemane tu boss",-1,-1,"10/12/2016 17:30"
"50.content","met ultah ibu vero sehat selalu n panjang umur tetap semangat juang neger",1,1,"10/12/2016 17:20"
"51.content","saya yakin bapak ahokdjarot sekarang sedang kriminalisasi semangat jangan serah bapak",1,1,"10/12/2016 17:15"
"52.content","orang baik selalu dukung orang waras fighting bapak",1,1,"10/12/2016 17:13"
"53.content","baru sangka proses hukum sdg brjalan main pecat",-1,0,"10/12/2016 17:10"
"54.content","lanjut",1,1,"10/12/2016 17:07"
"55.content","ngelindur kerja lo cuma antem saat gubernur",-1,-1,"10/12/2016 17:06"
"56.content","kumpul kembang dapetnya fee bapak tanyak ahokdjarot nista alquran",-1,-1,"10/12/2016 17:00"
"57.content","nomor lanjut",1,1,"10/12/2016 16:55"
"58.content","begitu ya ahokdjarot mau korup gede kalian citra bekagak bersih anti korup padahal biang",-1,-1,"10/12/2016 16:53"
"59.content","rawa ong uber massa lari naek angkot sambil gemetar muka pucat video",-1,-1,"10/12/2016 16:50"
"60.content","gaya kampanye monoton rumah lembang mirip buka praktek padahal ahokdjarot bukan dukun",-1,-1,"10/12/2016 16:49"
"61.content","sampai segituu cinta emamg gokil bagaimana laen tidak jealous",1,1,"10/12/2016 16:44"
"62.content","turut saya koran lebih tarik bapak",0,0,"10/12/2016 16:42"
"63.content","omong cermin jatidirinya sungguh",0,0,"10/12/2016 16:41"
"64.content","kirain cerita kemaren waktu kampanye",0,0,"10/12/2016 16:33"
"65.content","kenapa bapak ngomngy ceplas ceplos saya bingung",-1,-1,"10/12/2016 16:28"
"66.content","dewa dewa dewa cawapub dukung cagub nilai beda banget",0,0,"10/12/2016 16:20"
"67.content","peak kamu urus bini n anak kamu sudah diksh maem belum ngapain urus",-1,0,"10/12/2016 16:19"
"68.content","terimakasih bapak sudah bongkar makar jahat m lebih pantesan n",-1,-1,"10/12/2016 16:16"
"69.content","steve doi mah anti mainstream keren pokok mah",1,1,"10/12/2016 16:15"
"70.content","keren bapak btw beli mana ya mksh",1,1,"10/12/2016 16:14"
"71.content","begini bapak fansboynya",0,0,"10/12/2016 16:10"
"72.content","btw sidang bagaimana bapak live alas tekan opini gerombol dtg bknnya mlh tekan",-1,-1,"10/12/2016 16:07"
"73.content","bapak bapak ttd bs request bapak tulis tidak cth ato kata bapak mhln dikit gpp pi jangan mhl banget",0,0,"10/12/2016 16:06"
"74.content","keren kejut haru",1,1,"10/12/2016 16:06"
"75.content","jam lebih nunggu tidak dtg padahal tuju cuma pluit rasa kapok naek tj hr sabtu",-1,0,"10/12/2016 16:02"
"76.content","semangat",1,1,"10/12/2016 15:59"
"77.content","atau nista agama lain",-1,-1,"10/12/2016 15:58"
"78.content","coba kasih lihat video teriak taik saya lihat",0,0,"10/12/2016 15:57"
"79.content","busee tulisanya tidak ganteng bapak",1,1,"10/12/2016 15:56"
"80.content","kayak jari busuk derita diabetes tidak segera amputasi",0,0,"10/12/2016 15:49"
"81.content","tidak habis pikir jika gubernur tokoh antikebhinekaan macem dia mah cocok",-1,-1,"10/12/2016 15:47"
"82.content","betapa mulia jiwa sabar ikhlas yakin datang kebahagian beri tuhan",1,1,"10/12/2016 15:46"
"83.content","saya tidak paham bangga bangga bangun lupa akhlak buruk situ cari pemimpin apa kontraktor",-1,-1,"10/12/2016 15:42"
"84.content","darah negri dengar sepele kita mrasa damai bapak anak kampung ingin anda presiden r",1,1,"10/12/2016 15:40"
"85.content","kata tetangga saya ramal angka kelahiranya bakal kalah mmmmmmmmm",-1,-1,"10/12/2016 15:37"
"86.content","isis bulu domba orang lebih manfaat bagi nkri domba isis jangan kecoh m",1,1,"10/12/2016 15:35"
"87.content","konco cikeas",0,0,"10/12/2016 15:32"
"88.content","ahoq kamu banyak bohong tipu rakyat jkt sudah tidak kamu tipu",-1,-1,"10/12/2016 15:31"
"89.content","maju terus bapak semagat mana dapatin buku bapak tolong info ya bapak",1,1,"10/12/2016 15:30"
"90.content","ulang",0,0,"10/12/2016 15:28"
"91.content","dicuekin warga kasih kamu ahokdjarot",-1,-1,"10/12/2016 15:25"
"92.content","lo bilang adap emang laku lo ber adab",-1,-1,"10/12/2016 15:21"
"93.content","keren",1,1,"10/12/2016 15:20"
"94.content","iya bagaimana konsultan politik bapak mbo diajarin gitu",-1,-1,"10/12/2016 15:16"
"95.content","mantafff",1,1,"10/12/2016 15:14"
"96.content","kasihan lo ahokdjarot mpe jual buku buat bekal penjara",-1,-1,"10/12/2016 15:13"
"97.content","sudah bantuin jaga nanti malah fitnah dapat bayar rebu",-1,-1,"10/12/2016 15:11"
"98.content","giat gajah t dipo ptb rw l duren sawit",0,0,"10/12/2016 15:09"
"99.content","mbak pasti masuk angin apa benda lain masuk koyok",-1,-1,"10/12/2016 15:07"
"100.content","beli buku bapak banyak hal positif ajar bapak ahokdjarot luck bapak ahokdjarot",1,1,"10/12/2016 15:06"
"101.content","giat gajah t pool gerobak rw l klender",0,0,"10/12/2016 15:05"
"102.content","melindumgi ahokdjarot antek pki tumpas",-1,-1,"10/12/2016 15:05"
"103.content","salam jaricalon wagub idola bapak ahokdjarot semoga slu sehat lindung tuhan subhanahu wa ta ala",1,1,"10/12/2016 15:04"
"104.content","lawan gatot kaca",0,0,"10/12/2016 15:03"
"105.content","giat gajah lps wika rw l malaka jaya",0,0,"10/12/2016 15:02"
"106.content","omong timbul ribut tetotet",-1,-1,"10/12/2016 15:01"
"107.content","lidah senjata utama bagi selamat bangsa hati bicara jngn sampai singgung orang tetotet",-1,-1,"10/12/2016 15:00"
"108.content","sapu jalan raya bogor l ciracas tanggal",0,0,"10/12/2016 14:57"
"109.content","transit germor rw jalan raya bogor tanggal",0,0,"10/12/2016 14:56"
"110.content","bilang kasus dipoltisi atas nama nista agama adalah orang main politik sendiri kubu kalian jelas bawa simbol",-1,-1,"10/12/2016 14:55"
"111.content","giat tl qlue jalan laut arafuru l duren sawit",0,0,"10/12/2016 14:55"
"112.content","giat tl qlue jalan kol sugiono l duren sawit",0,0,"10/12/2016 14:54"
"113.content","tetap fokus nista agama laku saat uang bs beli hukum suara sementara jangan trkecoh isu dimainkn",-1,-1,"10/12/2016 14:51"
"114.content","kata siapa benar",1,1,"10/12/2016 14:50"
"115.content","siap kami beli buku bapak kami nunggu toko buku",1,1,"10/12/2016 14:49"
"116.content","mantap",1,1,"10/12/2016 14:48"
"117.content","kaya tidak baca laen",-1,-1,"10/12/2016 14:46"
"118.content","semangat bapak ahokdjarot dki buntuh anda",1,1,"10/12/2016 14:45"
"119.content","transit germor rw jalan satwal ciracas tanggal",0,0,"10/12/2016 14:44"
"120.content","saya bakal beli",1,1,"10/12/2016 14:43"
"121.content","maju terus bapak ahokdjarot",1,1,"10/12/2016 14:40"
"122.content","fakta jelas siapa laku tidak salah soal guru sebut mmbuka wawas informasi s",0,0,"10/12/2016 14:40"
"123.content","giat lintas panther jalan kol sugiono l duren sawit",0,0,"10/12/2016 14:38"
"124.content","lebih bijak pentol demo tangkap siswi banyuwangi tulis viral fb",-1,-1,"10/12/2016 14:36"
"125.content","gua mah banget",1,1,"10/12/2016 14:35"
"126.content","ya tuhan lindung bapak ridhoilah tiap langkah beliau ambil",1,1,"10/12/2016 14:35"
"127.content","giat tl qlue jalan lingkar duren sawit l drn sawit",0,0,"10/12/2016 14:34"
"128.content","saya tunggu kisah masa sekarang bapak semoga ending krna tidak saya erti kenapa bapak tidak tuntut musuh anda",1,1,"10/12/2016 14:32"
"129.content","bapak rakyat harap sidang buka transparan suai perintah awal benar buka jls rkyt",1,1,"10/12/2016 14:29"
"130.content","hanya umat islam headline marah paham islam santai agama",-1,0,"10/12/2016 14:27"
"131.content","apalagi harus salah hadap baik kita percaya kpd proses hukum independen",0,0,"10/12/2016 14:27"
"132.content","bapak jarot duet abang kapan bapak ikut kuis koplaknya",0,0,"10/12/2016 14:26"
"133.content","hasil sapu jalan suci l susuk tanggal",0,0,"10/12/2016 14:26"
"134.content","sapu jalan supriyadi l susuk tanggal",0,0,"10/12/2016 14:25"
"135.content","tidak tarik sory",-1,-1,"10/12/2016 14:25"
