is_kelas,sentimen_3,date,text
0,NA,10/12/2016,@aniesbaswedan @Gerindra kita pewaris perjuangan harus meneruskan di jln cita2 pendiri negeri dlm kemandirian
0,NA,10/12/2016,Sebaiknya @sandiuno segera merekrut fotografer dan penata gaya @agusharimurti ..biar gak cupu kasian @aniesbaswedan‚Ä¶ https://t.co/3tu9beAOCx
1,NA,10/12/2016,Semangat pak @basuki_btp &amp; @aniesbaswedan .. semoga salah satu dr anda yg menang !! #SayNoToAHY https://t.co/NM6BrUcNXk
0,NA,10/12/2016,Team cerobong asap PD merapikan spanduk paslon lain yg terlipat Cc ke @hafidz_ary @aniesbaswedan @PrijantoRabbani‚Ä¶ https://t.co/ppaEPMbaTv
1,NA,10/12/2016,"Mantan Pimpinan KPK aja dukung @aniesbaswedan @sandiuno  wow great! Semoga orang jujur,cerdas,rendah hati yg memimp‚Ä¶ https://t.co/vD9JNjjinc"
0,NA,10/12/2016,"memang calonnya cuma tersangka itu ya?
@aniesbaswedan bukan tersangka Ì†ΩÌ∏ä https://t.co/4I4o4AXKVe"
0,NA,10/12/2016,@embah72 @CH_chotimah @eliya_mkom @jokowi @aniesbaswedan Ha.ha..Baper ya.. Yuk piknik di long Week end ..Ì†ΩÌ∏ÄÌ†ΩÌ∏Ä b@AgusYudhoyono
1,NA,10/12/2016,@aniesbaswedan setuju Pak..Semangat! Ì†ΩÌ≤™Ì†ΩÌ∏Ä
1,NA,10/12/2016,"Nah ini... Adem, sejuk, dan teduh, hal yg paling DKI butuhkan 5 th ke depan. Dan itu pembawaan dari sosok‚Ä¶ https://t.co/afMEHe53IH"
0,NA,10/12/2016,"@aniesbaswedan .. Jadilah pemimpin yg bersih,bersih kan manusia murahan yg tidak jujur, karena ke jujuran itu mahal"
1,NA,10/12/2016,Setuju pak @aniesbaswedan RT : Anies: Hulunya Korupsi Adalah Integritas Buruk https://t.co/ilNBaknyZU cc @sandiuno
0,NA,10/12/2016,"@CH_chotimah @eliya_mkom @jokowi @aniesbaswedan @AgusYudhoyono ini mah bukan analisis, hitam putihnya terlalu kentara"
1,NA,10/12/2016,Tiga daeng yg pakaian hijau itu angka 3 utk @aniesbaswedan &amp; @sandiuno; smtr 5 puang di belakangnya sdh tahulah = a‚Ä¶ https://t.co/xkTBONRx7v
0,NA,10/12/2016,@IndraJPiliang @aniesbaswedan @sandiuno jgn lah..gak rame kalo gak da lo..IJP
0,NA,10/12/2016,@CNNIndonesia bukti beliau all out dukung @aniesbaswedan &amp; @sandiuno pakde @yono_san
0,NA,10/12/2016,"~~ Ada yg kirim pesan; agar IJP ndak ngecuit mulu soal @aniesbaswedan &amp; @sandiuno, segera tugaskan keluar kota ~~ (( Lha, jd punya waktu ))Ì†ΩÌ±å"
0,NA,10/12/2016,"Smg psgn bacalon gub DKI Jkrt bung @AgusYudhoyono dan mpok @sylviana_murni sehat, ttp amanah. Bgt jg dgn psgn @aniesbaswedan @sandiuno Ì†ΩÌ±ç"
1,NA,10/12/2016,"PENGHARGAAN @AniesBaswedan, 1. 2013 - The Golden Awards (Gerakan Indonesia Mengajar) #SiapaAniesSandi"
1,NA,10/12/2016,Tuh kan? Gue mulai ngecuit @aniesbaswedan &amp; @sandiuno sbg sosok yg paling PAS utk lewati thn2 politik 2018 &amp; 2019 bagi bangsa n negara RI Ì†ΩÌ±åÌ†ΩÌ±å
1,NA,10/12/2016,"Gue sih yakin  @aniesbaswedan &amp; @sandiuno LEBIH NETRAL &amp; bisa ADEMKAN suasana politik nasional utk agenda pilkada, pemilu &amp; pilpres. Ì†ΩÌ±åÌ†ΩÌ±åÌ†ΩÌ±å"
1,NA,10/12/2016,@psi_id Mas @aniesbaswedan dan bang @sandiuno donk... siapa lagi...
1,NA,10/12/2016,"KARIR @AniesBaswedan, 12. 2014 - 2016, Mendikbud RI, Kabinet Kerja Joko Widodo ‚Äì Jusuf Kalla #SiapaAniesSandi"
0,NA,10/12/2016,"@aniesbaswedan @sandiuno kerja tuntas, ikhlas https://t.co/HOAadJjSks"
0,NA,10/12/2016,"@setiadarmawan22 @ranabaja @basuki_btp  dan @aniesbaswedan kok gk ada pikiran resmi, gk resmi ya? ngomong aja takut debat, gk usah alasan..!"
1,NA,10/12/2016,Ini pertandingan kaum rasional. Pengetahuan adalah KITA: itu slogan &amp; prinsip @aniesbaswedan &amp; @sandiuno‚Ä¶ https://t.co/73tTsAuBdU
0,NA,10/12/2016,"Masyarakat suka yg yg ringan2 dan riang. Kesederhanaan adl kunci sukses Pilkada. Realistis
@AgusYudhoyono @basuki_btp @aniesbaswedan"
1,NA,10/12/2016,"KARIR @AniesBaswedan, 11. Pendiri gerakan Indonesia Mengajar #SiapaAniesSandi"
0,NA,10/12/2016,kami tdk akan dukung gubenur yg lakukan 'diskriminasi' larang pengendara motor lewat jl protokol @AgusYudhoyono @aniesbaswedan @GrabID
1,NA,10/12/2016,@IndraJPiliang @aniesbaswedan @sandiuno @Reiza_Patters Golkar aroma Anissandi...kerennnn dah
1,NA,10/12/2016,"KARIR @AniesBaswedan, 10. 2010 - Presenter, Young Global Leaders Summit, Tanzania, Afrika #SiapaAniesSandi"
0,NA,10/12/2016,"@wilsonsitorus dan 3) Pengen tahu ""jawaban sendiri""nya Pak @AgusYudhoyono, Bu @sylviana_murni, Pak @aniesbaswedan &amp;‚Ä¶ https://t.co/rhsJcVVDXA"
1,NA,10/12/2016,"KARIR @AniesBaswedan, 9. 2010 - Presenter, program Save Our Nation, Metro TV #SiapaAniesSandi"
0,NA,10/12/2016,mau ahoker itu lawan ikutin ritme game dia tp AHY lbih milih gerilya Ì†ΩÌ±ç mantap! ga sia2 masuk akmil Ì†ΩÌ∏Å syg pak‚Ä¶ https://t.co/oMYxGRdjka
1,NA,10/12/2016,Pemenang Pilgub DKI Jakarta @aniesbaswedan dan @sandiuno #JakartaBahagia ‚ù§Ô∏è https://t.co/93E4Or1uP5
0,NA,10/12/2016,"Kak @AgusYudhoyono, Koh @basuki_btp, dan Pakde @aniesbaswedan ... twitwar dong!"
-1,NA,10/12/2016,@aniesbaswedan @ruditamara Memang nya seorang ibu bisa menentukan nasib anak di kelak hari.?hm.hmm..hmmm
1,NA,10/12/2016,"KARIR @AniesBaswedan, 6. Sejak 2007 - Rektor Universitas Paramadina #SiapaAniesSandi"
1,0,10/12/2016,"@detikcom setuju pak @aniesbaswedan Naik bis wisata Jkt gratis, keliling Pusat kota Jkt. Bisnya full ac &amp; bersih hasil kerja Pak Ahok. Ì†ΩÌ∏â"
0,NA,10/12/2016,@AhyFansclub sudah nemu @AgusYudhoyono tolong @GunRomli bawa ke lokasi debat cagub dki @basuki_btp @aniesbaswedan sekalian @NajwaShihab
1,NA,10/12/2016,"KARIR @AniesBaswedan, 5. Kemitraan bagi Pembaruan Tata Pemerintahan #SiapaAniesSandi"
0,NA,10/12/2016,@wakadol2012 @CH_chotimah @eliya_mkom @jokowi @aniesbaswedan @AgusYudhoyono heuheu buat nyenengin aja keknya..
1,NA,10/12/2016,Jangan lupa No 3 warga Jakarta Bang @sandiuno sama Bang @aniesbaswedan  DKI 1 #AniesSandi Ì†ΩÌπèÌ†ºÌøª https://t.co/e2qOShccN2
0,NA,10/12/2016,@CH_chotimah @eliya_mkom @jokowi @aniesbaswedan @AgusYudhoyono logika ibu2 ngerumpi aja tuh...
1,NA,10/12/2016,mari #BERSAMAmuliakanPerempuan dgn mendukung program kerja Pak @aniesbaswedan dan Pak @sandiuno
1,NA,10/12/2016,"KARIR @AniesBaswedan, 4. 2006 ‚Äì 2007 - Kemitraan untuk Reformasi Tata Kelola Pemerintahan #SiapaAniesSandi"
-1,NA,10/12/2016,@EkaRusdi1 @CH_chotimah @eliya_mkomÌ†ΩÌ±àÌ†ΩÌ±à jelas  pro AHY yg takut debat @jokowi @aniesbaswedan
