"","text","is_kelas","sentimen_3","date"
"1.content","kita waris juang harus terus di jln cita diri neger dlm mandiri",0,0,"10/12/2016"
"2.content","baik segera rekrut fotografer dan tata gaya biar tidak cupu kasi",0,0,"10/12/2016"
"3.content","semangat bapak moga salah satu dr anda yg menang",1,1,"10/12/2016"
"4.content","tim cerobong asap pd rapik spanduk paslon lain yg lipat cc haha",0,0,"10/12/2016"
"5.content","mantan pimpin kpk saja dukung wow great moga orang jujur cerdas rendah hati yg memimp",1,1,"10/12/2016"
"6.content","memang calon cuma sangka itu ya bukan sangka",0,0,"10/12/2016"
"7.content","haha haha baper ya ayo piknik di long week end b",0,0,"10/12/2016"
"8.content","tuju bapak semangat",1,1,"10/12/2016"
"9.content","nah ini adem sejuk dan teduh hal yg paling dki butuh th haha depan dan itu bawa dari sosok",1,1,"10/12/2016"
"10.content","jadi pemimpin yg bersih bersih kan manusia murah yg tidak jujur karena haha jujuran itu mahal",0,0,"10/12/2016"
"11.content","tuju bapak rt aniessandi hulu korupsi adalah integritas buruk cc",1,1,"10/12/2016"
"12.content","ini mah bukan analisa hitam putih lalu kentara",0,0,"10/12/2016"
"13.content","tiga daeng yg pakai hijau itu angka utk smtr puang di belakang sdh tahu haha",1,1,"10/12/2016"
"14.content","jangan lah tidak rame kalau tidak da lo ijp",0,0,"10/12/2016"
"15.content","bukti beliau all out dukung pakde",0,0,"10/12/2016"
"16.content","ada yg kirim pesan agar ijp tidak ngecuit mulu soal segera tugas keluar kota lho jd punya waktu",0,0,"10/12/2016"
"17.content","smg psgn bacalon gubernur dki jkrt bung dan mpok sehat ttp amanah bgt jg dgn psgn",0,0,"10/12/2016"
"18.content","harga the golden awards gerak indonesia ajar",1,1,"10/12/2016"
"19.content","tuh kan saya mulai ngecuit sbg sosok yg paling pas utk lewat thn politik bagi bangsa n negara r",1,1,"10/12/2016"
"20.content","saya sih yakin lebih netral bisa adem suasana politik nasional utk agenda pilkada milu pilpres",1,1,"10/12/2016"
"21.content","abang dan abang donk siapa lagi",1,1,"10/12/2016"
"22.content","karir menteri r kabinet kerja joko widodo jusuf kalla",1,1,"10/12/2016"
"23.content","kerja tuntas ikhlas",0,0,"10/12/2016"
"24.content","dan haha gk ada pikir resmi gk resmi ya omong saja takut debat gk usah alas",0,0,"10/12/2016"
"25.content","ini tanding kaum rasional tahu adalah kita itu slogan prinsip",1,1,"10/12/2016"
"26.content","masyarakat suka yg yg ringan dan riang sederhana adl kunci sukses pilkada realistis",0,0,"10/12/2016"
"27.content","karir diri gerak indonesia ajar",1,1,"10/12/2016"
"28.content","kami tidak akan dukung gubernur yg laku diskriminasi larang kendara motor lewat jl protokol",0,0,"10/12/2016"
"29.content","golkar aroma aniessandi kerennnn dah",1,1,"10/12/2016"
"30.content","karir presenter young global leaders summit tanzania afrika",1,1,"10/12/2016"
"31.content","dan en tahu jawab sendiri nya bapak ibu bapak",0,0,"10/12/2016"
"32.content","karir presenter program save our nation metro tv",1,1,"10/12/2016"
"33.content","mau ahoker itu lawan ikutin ritme game dia tp agussylvi lbih milih gerilya mantap tidak sia masuk akmil syg bapak",0,0,"10/12/2016"
"34.content","menang pilgub dki jakarta dan",1,1,"10/12/2016"
"35.content","haha haha dan pakde twitwar dong",0,0,"10/12/2016"
"36.content","memang nya orang ibu bisa tentu nasib anak di kelak hari hm hmm hmmm",-1,-1,"10/12/2016"
"37.content","karir sejak rektor universitas paramadina",1,1,"10/12/2016"
"38.content","tuju bapak naik bis wisata jkt gratis keliling pusat kota jkt bis full ac bersih hasil kerja bapak ahokdjarot",1,0,"10/12/2016"
"39.content","sudah nemu tolong bawa haha lokasi debat cagub dki kalian",0,0,"10/12/2016"
"40.content","karir mitra bagi baru tata pemerintahan",1,1,"10/12/2016"
"41.content","haha buat nyenengin saja kek",0,0,"10/12/2016"
"42.content","jangan lupa tidak warga jakarta abang sama abang dki",1,1,"10/12/2016"
"43.content","logika ibu ngerumpi saja tuh",0,0,"10/12/2016"
"44.content","mari dgn dukung program kerja bapak dan bapak",1,1,"10/12/2016"
"45.content","karir mitra untuk reformasi tata kelola pemerintahan",1,1,"10/12/2016"
"46.content","jelas pro agussylvi yg takut debat",-1,-1,"10/12/2016"
"47.content","baik dari master in political communication panik bidak catur",0,0,"10/12/2016"
"48.content","kalau gitu para koruptor yg sdh penjara dalam rahim ibu sdh ada benih korupsi",-1,-1,"10/12/2016"
"49.content","yakin pasti menang doa kita semua dan juga doa para ibu",1,1,"10/12/2016"
"50.content","seperti kita hanya bisa harap adil pada irfan hakim chistina hakim ma hakim garis hakim garis",0,0,"10/12/2016"
"51.content","abang berantas korupsi tidak sekadar bentak bentak",0,1,"10/12/2016"
