"","text","is_kelas","sentimen_1","date"
"1.content","tiap paslon punya program masing situ mrasa hebat kenapa situ nyagub",-1,-1,"01/12/2016 21:21"
"2.content","lihat berita kenapa ikut aksi bela islam lihat salam sprt dukung bs jelas",-1,-1,"01/12/2016 21:21"
"3.content","politik uang program agussylvi menentaskan miskin paham cebong",-1,-1,"01/12/2016 21:21"
"4.content","seru",0,0,"01/12/2016 21:21"
"5.content","soal program bagus bs debat tetap ngerti politik uang waduh",-1,-1,"01/12/2016 21:21"
"6.content","kbtulan ingat sungguh mereka orang rusak mereka sadar qs",0,0,"01/12/2016 21:21"
"7.content","tahu abang rasa sakit agama hina tahan doa sj rumah saudara aksi hr",-1,-1,"01/12/2016 21:21"
"8.content","abg semoga menang partai pilkada nanti iyeeeww",1,1,"01/12/2016 21:21"
"9.content","kerja nyata relawan afc jakarta utara sosialisasi terus abang mpok gubdki",1,1,"01/12/2016 21:21"
"10.content","tahan ahokdjarot agussylvi ketemu debat cagub mewek tar",-1,-1,"01/12/2016 21:21"
"11.content","program kerja hrs nyata ukur smart",0,0,"01/12/2016 21:21"
"12.content","sedih agama bawa damai balik picu benci",-1,-1,"01/12/2016 21:21"
"13.content","agussylvi pasti ikut aksi",0,0,"01/12/2016 21:21"
"14.content","main politik uang saat ranking bawah",-1,-1,"01/12/2016 21:21"
"15.content","bayar rp warga rebut bakso agussylvi cuek orasi timses nonton simiskin saling sikut rebut",-1,-1,"01/12/2016 21:21"
"16.content","mereka kawasan jajah elo makanya sapa paksa takut preman lutung murka",-1,-1,"01/12/2016 21:21"
"17.content","harap abang jk satu unit usaha berik modal serap lima kerja baru maka",0,0,"01/12/2016 21:21"
"18.content","kritik para kontestan",-1,-1,"01/12/2016 21:21"
"19.content","program khayal abang yakin program realisasi sinergi",0,0,"01/12/2016 21:21"
"20.content","pagi sadar baik manfaat banyak banding nyinyir naikin elektabilitas abang terus",-1,0,"01/12/2016 21:21"
"21.content","naga burik senior bnyak laenn",0,0,"01/12/2016 21:21"
"22.content","saat single yl beliau klaim diri kloning bapak identik",-1,-1,"01/12/2016 21:21"
"23.content","keren amat membelah diri kayak monera",-1,-1,"01/12/2016 21:21"
"24.content","sikat kepala rw mobilisasi massa pilih calon mnjanjikan uang dasar cagub malas",-1,-1,"01/12/2016 21:21"
"25.content","maju abang jakarta kota bernartabat",1,1,"01/12/2016 21:21"
"26.content","bawaslu program politik uang hari gin main politik uang siang bolong",-1,-1,"01/12/2016 21:21"
"27.content","lumayan bagi bagi hasil bli harus ne ngae slogan luungan bedik agussylvi make jakarta great again",0,0,"01/12/2016 21:21"
"28.content","kampanye senang sini kena semprit btw perlu nyiapin",0,0,"01/12/2016 21:21"
"29.content","apakah yakin tambah karyawan buah usaha janji kurang anggur",0,0,"01/12/2016 21:21"
"30.content","fungsi dana saat kampanye katak pemberdayaan komun",0,0,"01/12/2016 21:21"
"31.content","rasa pilgub sekarang calon cuma",0,0,"01/12/2016 21:21"
"32.content","koruptor berjamaah makin",-1,-1,"01/12/2016 21:21"
"33.content","mungkin tanya kembang suap",-1,-1,"01/12/2016 21:21"
"34.content","semerawut abang",-1,-1,"01/12/2016 21:21"
"35.content","keren mba video semoga harap akn pemimpin ramah santun wujud",1,1,"01/12/2016 21:21"
"36.content","terus semangat coblos",1,1,"01/12/2016 21:21"
"37.content","pemimpin santun tinggal rumah hantu hambalang",-1,-1,"01/12/2016 21:21"
"38.content","inget bapak inget partai inget menteri tahun jangan smpai ulang",-1,-1,"01/12/2016 21:21"
"39.content","tekan program politik uang",0,0,"01/12/2016 21:21"
"40.content","posko menang relawan agussylvi agussylvi lentengagung jagakarsa jaksel",0,0,"01/12/2016 21:21"
"41.content","posko menang relawan lima kalibata pancoran jaksel",0,0,"01/12/2016 21:21"
"42.content","menit pasuk orange nb pantesan timses jahat pasuk orange",-1,-1,"01/12/2016 21:21"
"43.content","penting menang dulu laen urus belakang gitu repot",1,1,"01/12/2016 21:21"
"44.content","lanjut juang sang ayah sampai yaitu bagi uang",-1,-1,"01/12/2016 21:21"
"45.content","blg politik uang bela diri benar buah benar nilai",-1,-1,"01/12/2016 21:21"
"46.content","raskin korupsi rw apalagi duit milyar",-1,-1,"01/12/2016 21:21"
"47.content","duit korupsi ngendi teh abang",-1,-1,"01/12/2016 21:21"
"48.content","prihatin lihat agussylvi kena tampar keras publik",-1,-1,"01/12/2016 21:21"
"49.content","harta kaya lebih besar",0,0,"01/12/2016 21:21"
"50.content","gembira ortu punya anak begitu tanya mayor lain kaya berapa",-1,-1,"01/12/2016 21:21"
"51.content","waahhh orang suci sedang pose nyata",-1,-1,"01/12/2016 21:21"
"52.content","plees sby politik uang buah jth jauh pohon y laku ank sby ficik",-1,-1,"01/12/2016 21:21"
"53.content","mikir duit trilyun banyak manfaat",-1,-1,"01/12/2016 21:21"
"54.content","program rp miliar per rw agussylvi nyata bagai politik uang",0,0,"01/12/2016 21:21"
"55.content","denger bah sm lo agussylvi ikutin jejak sby",0,0,"01/12/2016 21:21"
"56.content","zamin kubu kubu mau indonesia hancur",-1,-1,"01/12/2016 21:21"
"57.content","muak janji politikus busuk cuma mbacot",-1,-1,"01/12/2016 21:21"
"58.content","bot tapa kyanya nyari wangsit balesin mentionan",-1,-1,"01/12/2016 21:21"
"59.content","wkwkwkwkwkwkwkwjw bah coba tanya pumpe semua jalan tinggal tambah beda",0,0,"01/12/2016 21:21"
"60.content","kurangin pake kata prihatin bro khusus mereka",-1,-1,"01/12/2016 21:21"
"61.content","program basi tentu bukti hrs persetujuan mendagri dprd",-1,-1,"01/12/2016 21:21"
"62.content","emang doi oramg jakarta takut",-1,-1,"01/12/2016 21:21"
"63.content","uang politik mempan ibu",-1,-1,"01/12/2016 21:21"
"64.content","lapor",0,0,"01/12/2016 21:21"
"65.content","mudah menang punya karyawan nambah karyawan dapat gilir",1,1,"01/12/2016 21:21"
"66.content","orang lihat hasil kerja ahokdjarot agussylvi anak magang jual nama bapak",-1,-1,"01/12/2016 21:21"
"67.content","tekan program politik uang chirpstory",0,0,"01/12/2016 21:21"
"68.content","posko menang relawan lima cilandak timur cilandak jaksel",0,0,"01/12/2016 21:21"
"69.content","sekal",-1,-1,"01/12/2016 21:21"
"70.content","makanya hestek cuma bsnya prihatin kya sby",-1,-1,"01/12/2016 21:21"
"71.content","gitulah buzer belaga pilon benar bloon",-1,-1,"01/12/2016 21:21"
"72.content","hari gin maen playing victim playing hero",-1,-1,"01/12/2016 21:21"
"73.content","smg daganganny lais n lancar",1,1,"01/12/2016 21:21"
"74.content","bot orang playing as victims",-1,-1,"01/12/2016 21:21"
"75.content","rekap survei dini para tarung",0,0,"01/12/2016 21:21"
"76.content","posko menang relawan lima kebayoranlama selatan kebayoran lama jaksel",0,0,"01/12/2016 21:21"
"77.content","harap abang jika satu unit usaha berik modal serap lima kerja baru maka",0,0,"01/12/2016 21:21"
"78.content","blg politik uang bela diri benar buah benar nilai bawaslu",-1,-1,"01/12/2016 21:21"
"79.content","posko menang relawan bagus pasar minggu jaksel",0,0,"01/12/2016 21:21"
"80.content","jangan pilih dah gtu",-1,-1,"01/12/2016 21:21"
"81.content","program abang rencana bantu dana gulir rp t per tahun bagi unit usaha mikro",0,0,"01/12/2016 21:21"
"82.content","markas lunglung",0,0,"01/12/2016 21:21"
"83.content","bagaimana bs prgrm brjln kl sistm pengawasn rw dpt dipntw kmn arus m sebut sm aj spt sstm blt",0,0,"01/12/2016 21:21"
"84.content","mnrt radikalisme masalah",-1,-1,"01/12/2016 21:21"
"85.content","posko menang relawan lima pasar minggu jaksel",0,0,"01/12/2016 21:21"
"86.content","mantap",1,1,"01/12/2016 21:21"
"87.content","sby curang",-1,-1,"01/12/2016 21:21"
"88.content","duren abang td minta datang tim abang agussylvi thanks",0,0,"01/12/2016 21:21"
"89.content","cari makan minta blt program harus didik martabat",-1,-1,"01/12/2016 21:21"
"90.content","cagub wagubnya",0,0,"01/12/2016 21:21"
"91.content","posko menang relawan lima agussylvi agussylvi kramat mampang jaksel",0,0,"01/12/2016 21:21"
"92.content","hari cukup kt cium bau bangkenya abang foto hny tuk bukti otentik bhw cium kt",-1,-1,"01/12/2016 21:21"
"93.content","posko menang relawan lima agussylvi agussylvi jaksel",0,0,"01/12/2016 21:21"
"94.content","program bagi bagi uang bla bla bla",-1,-1,"01/12/2016 21:21"
"95.content","program rencana bantu dana gulir rp triliun per tahun bagi unit usaha mikro",0,0,"01/12/2016 21:21"
"96.content","senang lihat arung ciliwung serta janji spt venice bulan yl telah beker",1,0,"01/12/2016 21:21"
"97.content","tanah abang janji uang",-1,-1,"01/12/2016 21:21"
"98.content","posko menang relawan lima agussylvi agussylvi cikoko pancoran jaksel",0,0,"01/12/2016 21:21"
"99.content","nmx psr pst rame cb hutan",0,0,"01/12/2016 21:21"
"100.content","niat aksi bela islam beberapa hari aksi ngumpul cikeas dukung cagub magang masuk",-1,-1,"01/12/2016 21:21"
"101.content","robot mulai kerja tidur",-1,-1,"01/12/2016 21:21"
"102.content","pilih nomer paket fpi nyata seram ky lihat harta kaya bos",-1,-1,"01/12/2016 21:21"
"103.content","ikut bantuin ahokdjarot kampanye arti tuju kinerja emg",1,0,"01/12/2016 21:21"
"104.content","baca",0,0,"01/12/2016 21:21"
"105.content","semoga terus semangat komitmen tinggi apkli",1,1,"01/12/2016 21:21"
"106.content","menang tetap ikhtiar selalu dekat dng hati rakyat salam keluarga besar dicikeas",1,1,"01/12/2016 21:21"
"107.content","semoga abang berik semua baik oleh tuhan tuhan selamat sukses",1,1,"01/12/2016 21:21"
"108.content","mirip mirip blt nyontek program",-1,-1,"01/12/2016 21:21"
"109.content","orang gencar mefitnah abang yakin balik coba cahaya langit terang tiap jiwa",1,1,"01/12/2016 21:21"
"110.content","sbg prajurit aktif boleh bisnis cek ps ayat iya sby",-1,-1,"01/12/2016 21:21"
"111.content","abang agussylvi tadi sore jam lihat abang agussylvi kampanye jakarta timur keren banyak gemar abang agussylvi keren",1,1,"01/12/2016 21:21"
"112.content","aksi abang keren seperti paslon lain cuma berani kandang",1,1,"01/12/2016 21:21"
"113.content","buly dilakukab ahoker hadap atas tindak salah pr ahokdjarot untung elektabilitasnya naik",-1,1,"01/12/2016 21:21"
"114.content","palsu asli tetap kafir",-1,-1,"01/12/2016 21:21"
"115.content","lebih arah ukur lbh prihatin tuju",-1,-1,"01/12/2016 21:21"
"116.content","usah muluk emang uang siapa mau bagi",-1,-1,"01/12/2016 21:21"
"117.content","posko rapi saat gubernur posko sejarah masa datang",1,1,"01/12/2016 21:21"
