"","text","is_kelas","sentimen_3","date"
"1.content","waris juang harus terus jalan cita diri neger mandiri",0,0,"10/12/2016 21:21"
"2.content","baik segera rekrut fotografer tata gaya cupu kasih",0,0,"10/12/2016 21:21"
"3.content","semangat bapak semoga salah satu menang",1,1,"10/12/2016 21:21"
"4.content","tim cerobong asap rapik spanduk paslon lain lipat",0,0,"10/12/2016 21:21"
"5.content","mantan pimpin kpk dukung great semoga orang jujur cerdas rendah hati memimp",1,1,"10/12/2016 21:21"
"6.content","memang calon cuma sangka sangka",0,0,"10/12/2016 21:21"
"7.content","baper ayo piknik long week end",0,0,"10/12/2016 21:21"
"8.content","tuju bapak semangat",1,1,"10/12/2016 21:21"
"9.content","adem sejuk teduh hal paling dki butuh th depan bawa sosok",1,1,"10/12/2016 21:21"
"10.content","pemimpin bersih bersih manusia murah jujur jujuran mahal",0,0,"10/12/2016 21:21"
"11.content","tuju bapak aniessandi hulu korupsi integritas buruk",1,1,"10/12/2016 21:21"
"12.content","mah analisa hitam putih kentara",0,0,"10/12/2016 21:21"
"13.content","tiga daeng pakai hijau angka smtr puang belakang tahu",1,1,"10/12/2016 21:21"
"14.content","jangan rame da lo ijp",0,0,"10/12/2016 21:21"
"15.content","bukti beliau all out dukung pakde",0,0,"10/12/2016 21:21"
"16.content","kirim pesan agar ijp ngecuit mulu soal segera tugas keluar kota punya waktu",0,0,"10/12/2016 21:21"
"17.content","smg psgn bacalon gubernur dki jkrt bung mpok sehat tetap amanah bgt psgn",0,0,"10/12/2016 21:21"
"18.content","harga the golden awards gerak indonesia ajar",1,1,"10/12/2016 21:21"
"19.content","mulai ngecuit sbg sosok paling pas lewat thn politik bagi bangsa n negara r",1,1,"10/12/2016 21:21"
"20.content","yakin lebih netral adem suasana politik nasional agenda pilkada milu pilpres",1,1,"10/12/2016 21:21"
"21.content","abang abang siapa",1,1,"10/12/2016 21:21"
"22.content","karir menteri r kabinet kerja joko widodo jusuf kalla",1,1,"10/12/2016 21:21"
"23.content","kerja tuntas ikhlas",0,0,"10/12/2016 21:21"
"24.content","pikir resmi resmi omong takut debat usah alas",0,0,"10/12/2016 21:21"
"25.content","tanding kaum rasional tahu slogan prinsip",1,1,"10/12/2016 21:21"
"26.content","masyarakat suka ringan riang sederhana adl kunci sukses pilkada realistis",0,0,"10/12/2016 21:21"
"27.content","karir diri gerak indonesia ajar",1,1,"10/12/2016 21:21"
